#OPEN_EXPORT: 2023.05.05.1207
#Datum vytvoen souboru: 14.02.2024 21:53
#Staenm publikovanch dat souhlaste s podmnkami uit tchto dat.

METADATA
Stanice ID;Jmno stanice;Zatek men;Konec men;Zempisn dlka;Zempisn ka;Nadmosk vka
C1SUSI01;Suice;01.01.1961;31.12.1965;13.5264;49.2308;461
C1SUSI01;Suice;01.01.1966;31.12.1974;13.5249;49.2308;483.7
C1SUSI01;Hrdek u Suice;01.01.1975;30.09.1989;13.4923;49.2632;495
C1SUSI01;Suice;01.01.1990;31.05.1993;13.5264;49.2308;490
C1SUSI01;Suice;01.07.1993;30.09.1997;13.5264;49.2308;490
C1SUSI01;Suice;01.01.1998;31.12.2023;13.5283;49.2381;484

PSTROJE
Pstroj;Zatek men;Konec men;Vka pstroje [m]
Teplomr;01.01.1961;31.12.1965;2
Teplomr;01.01.1990;30.09.1991;2
Teplomr;01.12.1991;31.05.1993;2
Teplomr;01.07.1993;31.08.1994;2
Teplomr;01.10.1994;31.08.1997;2

PRVEK
Prmrn denn teplota vzduchu [T.AVG

Popis:
Hodnota - hodnota prvku
Pznak - roziujc informace o hodnot

DATA
Rok;Msc;Den;Hodnota;Pznak
1961;01;1;-5.5;
1961;01;2;-4;
1961;01;3;-2;
1961;01;4;.6;
1961;01;5;1.9;
1961;01;6;.3;
1961;01;7;2.6;
1961;01;8;2.4;
1961;01;9;2.4;
1961;01;10;.2;
1961;01;11;.1;
1961;01;12;-4.4;
1961;01;13;-3.5;
1961;01;14;-2.6;
1961;01;15;-2.2;
1961;01;16;-5.3;
1961;01;17;-5;
1961;01;18;-10.6;
1961;01;19;-12.1;
1961;01;20;-10.7;
1961;01;21;-3.9;
1961;01;22;-5.1;
1961;01;23;-3.1;
1961;01;24;-2.3;
1961;01;25;-4.6;
1961;01;26;-7.5;
1961;01;27;-12.6;
1961;01;28;-13.3;
1961;01;29;5;
1961;01;30;6.6;
1961;01;31;6.8;
1961;02;1;2.4;
1961;02;2;2.7;
1961;02;3;1.7;
1961;02;4;1.4;
1961;02;5;-2.2;
1961;02;6;1.5;
1961;02;7;4;
1961;02;8;3.6;
1961;02;9;6.2;
1961;02;10;3.9;
1961;02;11;5.4;
1961;02;12;4;
1961;02;13;4.1;
1961;02;14;4;
1961;02;15;4.7;
1961;02;16;5.4;
1961;02;17;2.6;
1961;02;18;0;
1961;02;19;4;
1961;02;20;4.4;
1961;02;21;2.5;
1961;02;22;1.6;
1961;02;23;2.9;
1961;02;24;1.3;
1961;02;25;.3;
1961;02;26;1.9;
1961;02;27;6.9;
1961;02;28;7.5;
1961;03;1;3.5;
1961;03;2;3.9;
1961;03;3;4.5;
1961;03;4;2.9;
1961;03;5;4.1;
1961;03;6;5.4;
1961;03;7;6.5;
1961;03;8;8.2;
1961;03;9;8.1;
1961;03;10;9.5;
1961;03;11;6.5;
1961;03;12;11.6;
1961;03;13;8.8;
1961;03;14;8.4;
1961;03;15;9.2;
1961;03;16;10.1;
1961;03;17;10.3;
1961;03;18;11.7;
1961;03;19;3.6;
1961;03;20;2.1;
1961;03;21;1.8;
1961;03;22;.8;
1961;03;23;4.6;
1961;03;24;7;
1961;03;25;5.8;
1961;03;26;9.6;
1961;03;27;3.9;
1961;03;28;3;
1961;03;29;5.3;
1961;03;30;6.7;
1961;03;31;7.2;
1961;04;1;9.2;
1961;04;2;9.6;
1961;04;3;9;
1961;04;4;10.7;
1961;04;5;13.9;
1961;04;6;14.9;
1961;04;7;16.4;
1961;04;8;13.4;
1961;04;9;7.3;
1961;04;10;9.3;
1961;04;11;11.2;
1961;04;12;11.9;
1961;04;13;13.5;
1961;04;14;13.9;
1961;04;15;12.7;
1961;04;16;9.5;
1961;04;17;10.4;
1961;04;18;9.1;
1961;04;19;9.4;
1961;04;20;9.7;
1961;04;21;10.7;
1961;04;22;12.7;
1961;04;23;10.9;
1961;04;24;9.4;
1961;04;25;11.4;
1961;04;26;10.4;
1961;04;27;9.9;
1961;04;28;9.8;
1961;04;29;9.6;
1961;04;30;10.2;
1961;05;1;10.4;
1961;05;2;11;
1961;05;3;11.1;
1961;05;4;12;
1961;05;5;15.3;
1961;05;6;14.2;
1961;05;7;12.5;
1961;05;8;10.4;
1961;05;9;8.4;
1961;05;10;7.5;
1961;05;11;5.3;
1961;05;12;6.1;
1961;05;13;10.2;
1961;05;14;11.1;
1961;05;15;10.5;
1961;05;16;7.7;
1961;05;17;9;
1961;05;18;9.3;
1961;05;19;9.8;
1961;05;20;9.6;
1961;05;21;9.9;
1961;05;22;10.9;
1961;05;23;11.4;
1961;05;24;12;
1961;05;25;14.4;
1961;05;26;13.8;
1961;05;27;13.5;
1961;05;28;7.2;
1961;05;29;6.4;
1961;05;30;8;
1961;05;31;14.1;
1961;06;1;17.2;
1961;06;2;16;
1961;06;3;11.6;
1961;06;4;12.1;
1961;06;5;14.9;
1961;06;6;15.7;
1961;06;7;16.2;
1961;06;8;14.4;
1961;06;9;15.5;
1961;06;10;13.5;
1961;06;11;11.3;
1961;06;12;12.4;
1961;06;13;13.5;
1961;06;14;12.2;
1961;06;15;12;
1961;06;16;14.3;
1961;06;17;16;
1961;06;18;19.4;
1961;06;19;19;
1961;06;20;15;
1961;06;21;17.9;
1961;06;22;19.2;
1961;06;23;17.3;
1961;06;24;17.8;
1961;06;25;22.5;
1961;06;26;20.2;
1961;06;27;18.9;
1961;06;28;13;
1961;06;29;14.6;
1961;06;30;16.9;
1961;07;1;19.9;
1961;07;2;18.7;
1961;07;3;23.9;
1961;07;4;18.3;
1961;07;5;12.1;
1961;07;6;11.8;
1961;07;7;13.3;
1961;07;8;13.1;
1961;07;9;12.5;
1961;07;10;14.7;
1961;07;11;19.5;
1961;07;12;20.7;
1961;07;13;14.8;
1961;07;14;15.8;
1961;07;15;15.7;
1961;07;16;13.2;
1961;07;17;14;
1961;07;18;13.3;
1961;07;19;14.4;
1961;07;20;15;
1961;07;21;15.1;
1961;07;22;14.7;
