#OPEN_EXPORT: 2023.05.05.1207
#Datum vytvoen souboru: 14.02.2024 21:53
#Staenm publikovanch dat souhlaste s podmnkami uit tchto dat.

METADATA
Stanice ID;Jmno stanice;Zatek men;Konec men;Zempisn dlka;Zempisn ka;Nadmosk vka
C1VLKO01;Vlkonice;01.06.1997;31.12.2023;13.5897;49.3022;493

PSTROJE
Pstroj;Zatek men;Konec men;Vka pstroje [m]
Teplomr;01.08.1997;23.02.2012;2
Teplotnvlhkostn idlo;24.02.2012;31.12.2023;2

PRVEK
Prmrn denn teplota vzduchu [T.AVG

Popis:
Hodnota - hodnota prvku
Pznak - roziujc informace o hodnot

DATA
Rok;Msc;Den;Hodnota;Pznak
1997;08;1;12.9;
1997;08;2;15.2;
1997;08;3;17.1;
1997;08;4;16.8;
1997;08;5;19.7;
1997;08;6;17.6;
1997;08;7;17.3;
1997;08;8;16.9;
1997;08;9;18.1;
1997;08;10;17.7;
1997;08;11;19.1;
1997;08;12;18.3;
1997;08;13;19;
1997;08;14;20.6;
1997;08;15;20;
1997;08;16;18.6;
1997;08;17;19;
1997;08;18;16.6;
1997;08;19;16.9;
1997;08;20;18.3;
1997;08;21;18;
1997;08;22;19.1;
1997;08;23;18.7;
1997;08;24;19.8;
1997;08;25;19.9;
1997;08;26;18.1;
1997;08;27;19.1;
1997;08;28;18.1;
1997;08;29;12.9;
1997;08;30;14.5;
1997;08;31;15.4;
1997;09;1;17;
1997;09;2;17.2;
1997;09;3;18.8;
1997;09;4;17.1;
1997;09;5;18.5;
1997;09;6;18.3;
1997;09;7;16.2;
1997;09;8;15.7;
1997;09;9;15.1;
1997;09;10;10.9;
1997;09;11;11.1;
1997;09;12;16;
1997;09;13;11.9;
1997;09;14;8.6;
1997;09;15;9.5;
1997;09;16;10.1;
1997;09;17;13;
1997;09;18;14.1;
1997;09;19;12.2;
1997;09;20;6.7;
1997;09;21;6.4;
1997;09;22;7.8;
1997;09;23;10.2;
1997;09;24;8.2;
1997;09;25;8.7;
1997;09;26;10.1;
1997;09;27;8.9;
1997;09;28;8.1;
1997;09;29;10.1;
1997;09;30;13.8;
1997;10;1;13.3;
1997;10;2;11.5;
1997;10;3;8.1;
1997;10;4;9.8;
1997;10;5;11;
1997;10;6;10.3;
1997;10;7;11.7;
1997;10;8;15.1;
1997;10;9;19.4;
1997;10;10;13.6;
1997;10;11;10.8;
1997;10;12;7;
1997;10;13;5.5;
1997;10;14;4.9;
1997;10;15;4.4;
1997;10;16;3.5;
1997;10;17;2.5;
1997;10;18;4.5;
1997;10;19;1.8;
1997;10;20;6.2;
1997;10;21;.4;
1997;10;22;-.9;
1997;10;23;1.8;
1997;10;24;3.2;
1997;10;25;4.5;
1997;10;26;3.2;
1997;10;27;-2.3;
1997;10;28;-4.7;
1997;10;29;-3.5;
1997;10;30;.5;
1997;10;31;2.6;
1997;11;1;-1.2;
1997;11;2;.8;
1997;11;3;1.7;
1997;11;4;-.4;
1997;11;5;-.2;
1997;11;6;4.6;
1997;11;7;9.4;
1997;11;8;7.7;
1997;11;9;6.1;
1997;11;10;4.5;
1997;11;11;2.6;
1997;11;12;6.4;
1997;11;13;5.2;
1997;11;14;2;
1997;11;15;3.4;
1997;11;16;3;
1997;11;17;2.7;
1997;11;18;.2;
1997;11;19;-3.6;
1997;11;20;-2.3;
1997;11;21;2.9;
1997;11;22;2.7;
1997;11;23;.5;
1997;11;24;.6;
1997;11;25;-.2;
1997;11;26;0;
1997;11;27;1.8;
1997;11;28;1.5;
1997;11;29;4.5;
1997;11;30;3.2;
1997;12;1;2.7;
1997;12;2;.1;
1997;12;3;1.1;
