#OPEN_EXPORT: 2023.05.05.1207
#Datum vytvoen souboru: 14.02.2024 21:59
#Staenm publikovanch dat souhlaste s podmnkami uit tchto dat.

METADATA
Stanice ID;Jmno stanice;Zatek men;Konec men;Zempisn dlka;Zempisn ka;Nadmosk vka
L1LIBK01;Libkov;01.02.1978;31.12.1994;13.1383;49.3564;570
L1LIBK01;Libkov;01.03.1995;31.12.2023;13.135593;49.366344;574

PSTROJE
Pstroj;Zatek men;Konec men;Vka pstroje [m]
Teplomr;01.01.1979;31.12.1994;2

PRVEK
Prmrn denn teplota vzduchu [T.AVG

Popis:
Hodnota - hodnota prvku
Pznak - roziujc informace o hodnot

DATA
Rok;Msc;Den;Hodnota;Pznak
1979;01;1;-15.7;
1979;01;2;-13.7;
1979;01;3;-11.3;
1979;01;4;-10.6;
1979;01;5;-14.4;
1979;01;6;-13.4;
1979;01;7;-9.4;
1979;01;8;-4.2;
1979;01;9;-.4;
1979;01;10;-3.4;
1979;01;11;-1.7;
1979;01;12;-2.3;
1979;01;13;-3;
1979;01;14;-4.7;
1979;01;15;-5.8;
1979;01;16;-6.3;
1979;01;17;-6.6;
1979;01;18;-9.9;
1979;01;19;-7.5;
1979;01;20;-9.1;
1979;01;21;-8.4;
1979;01;22;-5.3;
1979;01;23;-2.4;
1979;01;24;-.8;
1979;01;25;-6.2;
1979;01;26;-5.6;
1979;01;27;-2.5;
1979;01;28;-.6;
1979;01;29;-1.5;
1979;01;30;0;
1979;01;31;-1.6;
1979;02;1;-1.6;
1979;02;2;2.5;
1979;02;3;-.6;
1979;02;4;-2.5;
1979;02;5;-1.3;
1979;02;6;-5;
1979;02;7;-4.7;
1979;02;8;-.6;
1979;02;9;-4.1;
1979;02;10;-4;
1979;02;11;-3.7;
1979;02;12;-.9;
1979;02;13;1.5;
1979;02;14;3.3;
1979;02;15;-.1;
1979;02;16;-2.2;
1979;02;17;.5;
1979;02;18;-1.1;
1979;02;19;-.2;
1979;02;20;-1.1;
1979;02;21;-2;
1979;02;22;-2;
1979;02;23;-2.9;
1979;02;24;-1.6;
1979;02;25;-3.2;
1979;02;26;-4.9;
1979;02;27;-4.8;
1979;02;28;-4.6;
1979;03;1;-1.2;
1979;03;2;.7;
1979;03;3;4.5;
1979;03;4;4.1;
1979;03;5;1.1;
1979;03;6;1.3;
1979;03;7;2.4;
1979;03;8;.7;
1979;03;9;1.5;
1979;03;10;-1.1;
1979;03;11;-.3;
1979;03;12;5.3;
1979;03;13;4.6;
1979;03;14;5.5;
1979;03;15;6;
1979;03;16;2.2;
1979;03;17;2.5;
1979;03;18;4.2;
1979;03;19;2.4;
1979;03;20;3.9;
1979;03;21;5.1;
1979;03;22;2.8;
1979;03;23;2.6;
1979;03;24;1.6;
1979;03;25;6.8;
1979;03;26;9;
1979;03;27;5.2;
1979;03;28;6.2;
1979;03;29;.2;
1979;03;30;.4;
1979;03;31;.3;
1979;04;1;1.3;
1979;04;2;2.8;
1979;04;3;3.1;
1979;04;4;.8;
1979;04;5;2.1;
1979;04;6;1.3;
1979;04;7;.5;
1979;04;8;1.5;
1979;04;9;1.4;
1979;04;10;5.6;
1979;04;11;8.7;
1979;04;12;8.6;
1979;04;13;9.8;
1979;04;14;10.4;
1979;04;15;10.7;
1979;04;16;11.1;
1979;04;17;3.7;
1979;04;18;.7;
1979;04;19;2;
1979;04;20;5.6;
1979;04;21;5.6;
1979;04;22;7.4;
1979;04;23;7;
1979;04;24;6.1;
1979;04;25;6.8;
1979;04;26;7.1;
1979;04;27;5.4;
