#OPEN_EXPORT: 2023.05.05.1207
#Datum vytvoen souboru: 14.02.2024 21:59
#Staenm publikovanch dat souhlaste s podmnkami uit tchto dat.

METADATA
Stanice ID;Jmno stanice;Zatek men;Konec men;Zempisn dlka;Zempisn ka;Nadmosk vka
L1MUTE01;Mutnn;01.01.1961;30.09.1968;12.7481;49.5444;480
L1MUTE01;Mutnn;01.04.1969;31.10.2001;12.7481;49.5444;480
L1MUTE01;Mutnn;01.11.2001;31.08.2008;12.7467;49.5458;480

PSTROJE
Pstroj;Zatek men;Konec men;Vka pstroje [m]
Teplomr;01.01.1961;30.09.1968;2
Teplomr;01.04.1969;31.10.1977;2
Teplomr;01.01.1992;31.08.2008;2

PRVEK
Prmrn denn teplota vzduchu [T.AVG

Popis:
Hodnota - hodnota prvku
Pznak - roziujc informace o hodnot

DATA
Rok;Msc;Den;Hodnota;Pznak
1961;01;1;-1.6;
1961;01;2;-1.2;
1961;01;3;.5;
1961;01;4;1;
1961;01;5;.6;
1961;01;6;-.1;
1961;01;7;1;
1961;01;8;1;
1961;01;9;1.8;
1961;01;10;-.6;
1961;01;11;-.8;
1961;01;12;-6.5;
1961;01;13;-6;
1961;01;14;-1.9;
1961;01;15;-1.7;
1961;01;16;-5.5;
1961;01;17;-5.8;
1961;01;18;-10.3;
1961;01;19;-12.2;
1961;01;20;-10.6;
1961;01;21;-2.9;
1961;01;22;-2.5;
1961;01;23;-2.1;
1961;01;24;-3.4;
1961;01;25;-6.1;
1961;01;26;-8.8;
1961;01;27;-12;
1961;01;28;-13.4;
1961;01;29;2.1;
1961;01;30;3.8;
1961;01;31;4.7;
1961;02;1;1.6;
1961;02;2;1.3;
1961;02;3;0;
1961;02;4;-.3;
1961;02;5;-1.8;
1961;02;6;1.6;
1961;02;7;2.4;
1961;02;8;2.1;
1961;02;9;4.7;
1961;02;10;3;
1961;02;11;3.8;
1961;02;12;3.1;
1961;02;13;2.9;
1961;02;14;3.8;
1961;02;15;2.2;
1961;02;16;4.2;
1961;02;17;2.2;
1961;02;18;1.4;
1961;02;19;3.7;
1961;02;20;2.5;
1961;02;21;2.8;
1961;02;22;.9;
1961;02;23;2.2;
1961;02;24;1.5;
1961;02;25;.6;
1961;02;26;1.8;
1961;02;27;6.4;
1961;02;28;5.9;
1961;03;1;1.9;
1961;03;2;3.4;
1961;03;3;4.2;
1961;03;4;2.9;
1961;03;5;5.9;
1961;03;6;5.9;
1961;03;7;7.4;
1961;03;8;6;
1961;03;9;7;
1961;03;10;8.1;
1961;03;11;6.1;
1961;03;12;9.5;
1961;03;13;8.1;
1961;03;14;7.9;
1961;03;15;8.2;
1961;03;16;10.8;
1961;03;17;9.9;
1961;03;18;9.1;
1961;03;19;1.7;
1961;03;20;1.4;
1961;03;21;.9;
1961;03;22;-.5;
1961;03;23;3.6;
1961;03;24;6.5;
1961;03;25;4.8;
1961;03;26;8.8;
1961;03;27;3.2;
1961;03;28;1.8;
1961;03;29;4.8;
1961;03;30;6.4;
1961;03;31;5.9;
1961;04;1;7.4;
1961;04;2;8.8;
1961;04;3;8;
1961;04;4;9.9;
1961;04;5;13.5;
1961;04;6;15.9;
1961;04;7;15.6;
1961;04;8;10.4;
1961;04;9;6.1;
1961;04;10;8.3;
1961;04;11;11.8;
1961;04;12;10.8;
1961;04;13;12.7;
1961;04;14;13.9;
1961;04;15;11.4;
1961;04;16;9.3;
1961;04;17;8.9;
1961;04;18;11;
1961;04;19;7.8;
1961;04;20;9.2;
1961;04;21;10.9;
1961;04;22;12.6;
1961;04;23;10.1;
1961;04;24;10.4;
1961;04;25;11;
1961;04;26;11.3;
1961;04;27;8.6;
1961;04;28;9.2;
1961;04;29;10.9;
1961;04;30;9.1;
1961;05;1;9.1;
1961;05;2;10.9;
1961;05;3;10;
1961;05;4;12.6;
1961;05;5;14.3;
1961;05;6;14.1;
1961;05;7;11.2;
1961;05;8;9.3;
1961;05;9;6.3;
1961;05;10;6.9;
1961;05;11;4.6;
1961;05;12;5.7;
1961;05;13;9.2;
1961;05;14;10.2;
1961;05;15;9.1;
1961;05;16;6.1;
1961;05;17;8.2;
1961;05;18;8.6;
1961;05;19;9.2;
1961;05;20;9.7;
1961;05;21;7.9;
1961;05;22;10.1;
1961;05;23;12.1;
1961;05;24;12.7;
1961;05;25;12.7;
1961;05;26;13.4;
1961;05;27;11.5;
1961;05;28;6.5;
1961;05;29;5.5;
1961;05;30;7.3;
1961;05;31;12.2;
1961;06;1;14.6;
1961;06;2;14.3;
1961;06;3;11.6;
1961;06;4;11.2;
1961;06;5;13.3;
1961;06;6;14.4;
1961;06;7;17;
1961;06;8;15.3;
1961;06;9;16;
1961;06;10;11.4;
1961;06;11;10.9;
1961;06;12;12.1;
1961;06;13;12.4;
1961;06;14;11.4;
1961;06;15;11.6;
1961;06;16;14;
1961;06;17;15.7;
1961;06;18;19.2;
1961;06;19;17;
1961;06;20;15;
1961;06;21;16.6;
1961;06;22;19.2;
1961;06;23;16.9;
1961;06;24;19;
1961;06;25;22.6;
1961;06;26;21.6;
1961;06;27;17.7;
1961;06;28;12.4;
1961;06;29;15;
1961;06;30;17.5;
1961;07;1;20.2;
1961;07;2;20.7;
1961;07;3;22.4;
1961;07;4;17.5;
1961;07;5;12.3;
1961;07;6;10.6;
1961;07;7;13.5;
1961;07;8;15.5;
1961;07;9;13;
1961;07;10;14.2;
1961;07;11;18.6;
1961;07;12;20.7;
1961;07;13;13.7;
1961;07;14;14.1;
1961;07;15;14.5;
1961;07;16;11.7;
1961;07;17;12.7;
1961;07;18;12.1;
1961;07;19;12.7;
1961;07;20;13.6;
1961;07;21;13.9;
1961;07;22;13.5;
1961;07;23;12.3;
1961;07;24;13.2;
1961;07;25;13.5;
1961;07;26;18.1;
1961;07;27;17.8;
1961;07;28;15.3;
1961;07;29;11;
1961;07;30;12;
1961;07;31;11.6;
1961;08;1;15;
1961;08;2;15.5;
1961;08;3;12.8;
1961;08;4;17;
1961;08;5;20.5;
1961;08;6;23.1;
1961;08;7;15.8;
1961;08;8;19.8;
1961;08;9;18;
1961;08;10;20;
1961;08;11;18;
1961;08;12;13.9;
1961;08;13;12.4;
1961;08;14;13.9;
1961;08;15;12.2;
1961;08;16;10.4;
1961;08;17;10.3;
1961;08;18;12.4;
1961;08;19;12.5;
1961;08;20;12;
1961;08;21;14.6;
1961;08;22;14.3;
1961;08;23;13.5;
1961;08;24;13.4;
1961;08;25;14.5;
1961;08;26;17.7;
1961;08;27;19;
1961;08;28;17.4;
1961;08;29;15.8;
1961;08;30;16.2;
1961;08;31;17.2;
1961;09;1;16.4;
1961;09;2;18.8;
1961;09;3;19.8;
1961;09;4;19;
1961;09;5;16.4;
1961;09;6;15.5;
1961;09;7;11.4;
1961;09;8;10.8;
1961;09;9;11.9;
1961;09;10;12.2;
1961;09;11;12.9;
1961;09;12;13.3;
1961;09;13;14.7;
1961;09;14;17;
1961;09;15;15.2;
1961;09;16;17.6;
1961;09;17;18.2;
1961;09;18;18.5;
1961;09;19;17.6;
1961;09;20;16.2;
1961;09;21;14.1;
1961;09;22;13.1;
1961;09;23;11.7;
1961;09;24;14.3;
1961;09;25;15.2;
1961;09;26;13.6;
1961;09;27;14.8;
1961;09;28;15.5;
1961;09;29;16.8;
1961;09;30;16.3;
1961;10;1;16.5;
1961;10;2;11.6;
1961;10;3;11.1;
1961;10;4;12.4;
1961;10;5;10.7;
1961;10;6;13.1;
1961;10;7;11.2;
1961;10;8;8.7;
