#OPEN_EXPORT: 2023.05.05.1207
#Datum vytvoen souboru: 14.02.2024 21:59
#Staenm publikovanch dat souhlaste s podmnkami uit tchto dat.

METADATA
Stanice ID;Jmno stanice;Zatek men;Konec men;Zempisn dlka;Zempisn ka;Nadmosk vka
L1PLZD01;Plze

PSTROJE
Pstroj;Zatek men;Konec men;Vka pstroje [m]
Teplomr;01.01.1961;31.07.1967;2
Teplomr;01.11.1967;31.05.1968;2
Teplomr;01.01.1969;31.03.1969;2
Teplomr;01.05.1969;31.05.1969;2
Teplomr;01.09.1969;31.10.1969;2
Teplomr;01.12.1969;31.05.1997;2

PRVEK
Prmrn denn teplota vzduchu [T.AVG

Popis:
Hodnota - hodnota prvku
Pznak - roziujc informace o hodnot

DATA
Rok;Msc;Den;Hodnota;Pznak
1961;01;1;-2.1;
1961;01;2;-1.9;
1961;01;3;1.2;
1961;01;4;1;
1961;01;5;.5;
1961;01;6;-1.2;
1961;01;7;1.7;
1961;01;8;1.4;
1961;01;9;2.1;
1961;01;10;.7;
1961;01;11;-.1;
1961;01;12;-4.3;
1961;01;13;-4.4;
1961;01;14;-.9;
1961;01;15;-.7;
1961;01;16;-4.2;
1961;01;17;-4.1;
1961;01;18;-8.8;
1961;01;19;-9.4;
1961;01;20;-10.3;
1961;01;21;-3.3;
1961;01;22;-4;
1961;01;23;-2.7;
1961;01;24;-2.7;
1961;01;25;-5.7;
1961;01;26;-8.4;
1961;01;27;-10.3;
1961;01;28;-14.3;
1961;01;29;3.1;
1961;01;30;5.2;
1961;01;31;5.5;
1961;02;1;2;
1961;02;2;2.1;
1961;02;3;1.2;
1961;02;4;.6;
1961;02;5;-1.6;
1961;02;6;1.1;
1961;02;7;3.4;
1961;02;8;3.1;
1961;02;9;5.2;
1961;02;10;3.3;
1961;02;11;4.1;
1961;02;12;4.4;
1961;02;13;3.6;
1961;02;14;4.3;
1961;02;15;4;
1961;02;16;4.7;
1961;02;17;4.8;
1961;02;18;1.2;
1961;02;19;3;
1961;02;20;4.5;
1961;02;21;3.7;
1961;02;22;2.3;
1961;02;23;2.9;
1961;02;24;3;
1961;02;25;.7;
1961;02;26;3.1;
1961;02;27;5.3;
1961;02;28;6.3;
1961;03;1;3.6;
1961;03;2;4.5;
1961;03;3;5.3;
1961;03;4;3.9;
1961;03;5;5.6;
1961;03;6;5.4;
1961;03;7;6.2;
1961;03;8;6.1;
1961;03;9;5.9;
1961;03;10;8.6;
1961;03;11;7.8;
1961;03;12;10.5;
1961;03;13;9.1;
1961;03;14;9.1;
1961;03;15;7.9;
1961;03;16;9;
1961;03;17;9.6;
1961;03;18;9.4;
1961;03;19;2.9;
1961;03;20;2.4;
1961;03;21;1.7;
1961;03;22;.6;
1961;03;23;5;
1961;03;24;7.5;
1961;03;25;5.7;
1961;03;26;8.8;
1961;03;27;3.5;
1961;03;28;2.2;
1961;03;29;5.7;
1961;03;30;7.4;
1961;03;31;6.5;
1961;04;1;8.8;
1961;04;2;8.8;
1961;04;3;8;
1961;04;4;10.8;
1961;04;5;13.1;
1961;04;6;15.4;
1961;04;7;14.1;
1961;04;8;11.1;
1961;04;9;7.1;
1961;04;10;10.2;
1961;04;11;11.4;
1961;04;12;11.5;
1961;04;13;13.1;
1961;04;14;14.1;
1961;04;15;12.2;
1961;04;16;9.6;
1961;04;17;11.1;
1961;04;18;11.1;
1961;04;19;9.8;
1961;04;20;11.1;
1961;04;21;13.1;
1961;04;22;14.1;
1961;04;23;11.5;
1961;04;24;11;
1961;04;25;11.9;
1961;04;26;12.8;
1961;04;27;10.9;
1961;04;28;11;
1961;04;29;11.3;
1961;04;30;11.1;
1961;05;1;10.8;
1961;05;2;12;
1961;05;3;10.5;
1961;05;4;13.1;
1961;05;5;16.7;
