#OPEN_EXPORT: 2023.05.05.1207
#Datum vytvoen souboru: 14.02.2024 21:59
#Staenm publikovanch dat souhlaste s podmnkami uit tchto dat.

METADATA
Stanice ID;Jmno stanice;Zatek men;Konec men;Zempisn dlka;Zempisn ka;Nadmosk vka
L1SPIC01;pik;01.01.1964;17.06.2020;13.231136;49.177061;945
L1SPIC01;pik;17.06.2020;31.12.2023;13.215816;49.169506;973

PSTROJE
Pstroj;Zatek men;Konec men;Vka pstroje [m]
Teplotnvlhkostn idlo;17.06.2020;31.12.2023;2

PRVEK
Prmrn denn teplota vzduchu [T.AVG

Popis:
Hodnota - hodnota prvku
Pznak - roziujc informace o hodnot

DATA
Rok;Msc;Den;Hodnota;Pznak
2020;06;1;;
2020;06;2;;
2020;06;3;;
2020;06;4;;
2020;06;5;;
2020;06;6;;
2020;06;7;;
2020;06;8;;
2020;06;9;;
2020;06;10;;
2020;06;11;;
2020;06;12;;
2020;06;13;;
2020;06;14;;
2020;06;15;;
2020;06;16;;
2020;06;17;;
2020;06;18;10.8;
2020;06;19;12;
2020;06;20;11.1;
2020;06;21;13.2;
2020;06;22;15.8;
2020;06;23;15.3;
2020;06;24;13.6;
2020;06;25;12.1;
2020;06;26;15.5;
2020;06;27;18.3;
2020;06;28;18.3;
2020;06;29;12.3;
2020;06;30;14.3;
2020;07;1;19;
2020;07;2;14.3;
2020;07;3;13.4;
2020;07;4;15.3;
2020;07;5;17.5;
2020;07;6;12.4;
2020;07;7;10.7;
2020;07;8;12.4;
2020;07;9;16.4;
2020;07;10;18.8;
2020;07;11;10.2;
2020;07;12;12.2;
2020;07;13;13.9;
2020;07;14;14.9;
2020;07;15;13;
2020;07;16;9.8;
2020;07;17;10.7;
2020;07;18;12.4;
2020;07;19;15.4;
2020;07;20;18.1;
2020;07;21;17.3;
2020;07;22;16.6;
2020;07;23;17.9;
2020;07;24;16.9;
2020;07;25;16.2;
2020;07;26;15.4;
2020;07;27;17.5;
2020;07;28;19.2;
2020;07;29;16.6;
2020;07;30;20.1;
2020;07;31;21.8;
2020;08;1;22.8;
2020;08;2;15.9;
2020;08;3;12.5;
2020;08;4;8.8;
2020;08;5;13.7;
2020;08;6;18;
2020;08;7;20.9;
2020;08;8;22.4;
2020;08;9;22.7;
2020;08;10;20.9;
2020;08;11;19.8;
2020;08;12;21.1;
2020;08;13;18.6;
2020;08;14;16.1;
2020;08;15;16;
2020;08;16;18.3;
2020;08;17;16.4;
2020;08;18;15.2;
2020;08;19;14.7;
2020;08;20;19.4;
2020;08;21;23.1;
2020;08;22;16;
2020;08;23;14.2;
2020;08;24;12.7;
2020;08;25;13.9;
2020;08;26;16.3;
2020;08;27;12.4;
2020;08;28;15.3;
2020;08;29;11.3;
2020;08;30;11.7;
2020;08;31;9.5;
2020;09;1;9.1;
2020;09;2;9.8;
2020;09;3;12.4;
2020;09;4;15.5;
2020;09;5;16.4;
2020;09;6;11.9;
2020;09;7;11;
2020;09;8;13.7;
2020;09;9;15;
2020;09;10;14.2;
2020;09;11;14.9;
2020;09;12;16.8;
2020;09;13;17.9;
2020;09;14;19.7;
2020;09;15;19.5;
2020;09;16;18.9;
2020;09;17;10.6;
2020;09;18;10.5;
2020;09;19;13.3;
2020;09;20;13.5;
2020;09;21;14.2;
2020;09;22;16.1;
2020;09;23;13;
2020;09;24;13.5;
2020;09;25;5.2;
2020;09;26;2.7;
2020;09;27;4.8;
2020;09;28;5;
2020;09;29;8.1;
2020;09;30;8.3;
2020;10;1;10.2;
2020;10;2;12;
2020;10;3;12.3;
2020;10;4;9.1;
2020;10;5;8;
2020;10;6;7.6;
2020;10;7;6.3;
2020;10;8;8.1;
2020;10;9;9.6;
2020;10;10;5.2;
2020;10;11;2.5;
2020;10;12;3.2;
2020;10;13;2.3;
2020;10;14;2.1;
2020;10;15;4.7;
2020;10;16;3.1;
2020;10;17;2.7;
2020;10;18;1.9;
2020;10;19;2.3;
2020;10;20;7.7;
2020;10;21;12.2;
2020;10;22;11;
2020;10;23;10.7;
2020;10;24;7.9;
2020;10;25;9;
2020;10;26;5.3;
2020;10;27;2.5;
2020;10;28;4.4;
2020;10;29;4.1;
2020;10;30;7.3;
2020;10;31;6.7;
2020;11;1;7.4;
2020;11;2;12.2;
2020;11;3;9.1;
2020;11;4;4.5;
2020;11;5;2.2;
2020;11;6;6.9;
2020;11;7;7.5;
2020;11;8;10.1;
2020;11;9;5.4;
2020;11;10;.7;
2020;11;11;1;
2020;11;12;3.1;
2020;11;13;4.9;
2020;11;14;7.6;
2020;11;15;6.3;
2020;11;16;4.7;
2020;11;17;3.9;
2020;11;18;6;
2020;11;19;3.5;
2020;11;20;-1.6;
2020;11;21;-2.9;
2020;11;22;.4;
2020;11;23;-.2;
2020;11;24;2.1;
2020;11;25;3;
2020;11;26;3.7;
2020;11;27;3.8;
2020;11;28;-1.8;
2020;11;29;-3;
2020;11;30;-4.2;
2020;12;1;-3.2;
2020;12;2;-6.5;
2020;12;3;-7.1;
2020;12;4;1.3;
2020;12;5;4.1;
2020;12;6;5.8;
2020;12;7;-.9;
2020;12;8;1.2;
2020;12;9;-1.2;
2020;12;10;-2;
2020;12;11;-2.6;
2020;12;12;-1.9;
2020;12;13;-.1;
2020;12;14;2;
2020;12;15;2.9;
2020;12;16;2.5;
2020;12;17;0;
2020;12;18;3.7;
2020;12;19;3.8;
2020;12;20;1.4;
2020;12;21;1.5;
2020;12;22;6.1;
2020;12;23;7.5;
2020;12;24;1.4;
2020;12;25;-3.6;
2020;12;26;-5.8;
2020;12;27;-3.8;
2020;12;28;-.5;
2020;12;29;-2.5;
2020;12;30;-2.3;
2020;12;31;-3.4;
2021;01;1;-2.1;
2021;01;2;-3.4;
2021;01;3;-3.5;
2021;01;4;-2.9;
2021;01;5;-1.8;
2021;01;6;-3.3;
2021;01;7;-4.2;
2021;01;8;-4.4;
2021;01;9;-5.2;
2021;01;10;-6;
