#OPEN_EXPORT: 2023.05.05.1207
#Datum vytvoen souboru: 14.02.2024 22:00
#Staenm publikovanch dat souhlaste s podmnkami uit tchto dat.

METADATA
Stanice ID;Jmno stanice;Zatek men;Konec men;Zempisn dlka;Zempisn ka;Nadmosk vka
L2TACH01;Tachov;01.01.1961;31.07.1996;12.6242;49.7992;483
L2TACH01;Tachov;01.09.1996;30.09.1996;12.6242;49.7992;483
L2TACH01;Tachov;01.11.1996;09.12.2015;12.623135;49.798357;483
L2TACH01;Tachov;09.12.2015;31.12.2023;12.623135;49.798357;487

PSTROJE
Pstroj;Zatek men;Konec men;Vka pstroje [m]
Teplotn idlo;22.05.2019;31.12.2023;2

PRVEK
Prmrn denn teplota vzduchu [T.AVG

Popis:
Hodnota - hodnota prvku
Pznak - roziujc informace o hodnot

DATA
Rok;Msc;Den;Hodnota;Pznak
2019;05;1;;
2019;05;2;;
2019;05;3;;
2019;05;4;;
2019;05;5;;
2019;05;6;;
2019;05;7;;
2019;05;8;;
2019;05;9;;
2019;05;10;;
2019;05;11;;
2019;05;12;;
2019;05;13;;
2019;05;14;;
2019;05;15;;
2019;05;16;;
2019;05;17;;
2019;05;18;;
2019;05;19;;
2019;05;20;;
2019;05;21;;
2019;05;22;;
2019;05;23;11.6;
2019;05;24;13.2;
2019;05;25;13.3;
2019;05;26;13.7;
2019;05;27;15.8;
2019;05;28;12.3;
2019;05;29;10.2;
2019;05;30;12.1;
2019;05;31;15.2;
2019;06;1;17.2;
2019;06;2;19.3;
2019;06;3;21;
2019;06;4;19.1;
2019;06;5;20.6;
2019;06;6;17;
2019;06;7;17.3;
2019;06;8;13.1;
2019;06;9;18.3;
2019;06;10;18.8;
2019;06;11;21.6;
2019;06;12;19.1;
2019;06;13;17.7;
2019;06;14;21.7;
2019;06;15;21.1;
2019;06;16;15.8;
2019;06;17;17.2;
2019;06;18;18.8;
2019;06;19;19.8;
2019;06;20;17.7;
2019;06;21;18.3;
2019;06;22;17.8;
2019;06;23;18.8;
2019;06;24;19.6;
2019;06;25;21.9;
2019;06;26;25;
2019;06;27;20.1;
2019;06;28;17.9;
2019;06;29;18.7;
2019;06;30;22.5;
2019;07;1;23.6;
2019;07;2;18.6;
2019;07;3;15.7;
2019;07;4;16.6;
2019;07;5;16.8;
2019;07;6;19.9;
2019;07;7;12.6;
2019;07;8;13.2;
2019;07;9;12.4;
2019;07;10;15.4;
2019;07;11;15.3;
2019;07;12;15.4;
2019;07;13;14.4;
2019;07;14;14.3;
2019;07;15;15.6;
2019;07;16;15.4;
2019;07;17;17.7;
2019;07;18;17.5;
2019;07;19;17.5;
2019;07;20;21.2;
2019;07;21;18.6;
2019;07;22;18.7;
2019;07;23;21.7;
2019;07;24;22.7;
2019;07;25;23.6;
2019;07;26;24.8;
2019;07;27;21.3;
2019;07;28;19.3;
2019;07;29;20.1;
2019;07;30;20.9;
2019;07;31;15.8;
2019;08;1;16.7;
2019;08;2;16.5;
2019;08;3;16.6;
2019;08;4;16.2;
2019;08;5;17.1;
2019;08;6;18.3;
2019;08;7;16.6;
2019;08;8;15.8;
2019;08;9;19.6;
2019;08;10;17.1;
2019;08;11;19.3;
2019;08;12;14.8;
2019;08;13;14.6;
2019;08;14;12;
2019;08;15;13.8;
2019;08;16;15;
2019;08;17;15.8;
2019;08;18;20;
2019;08;19;16.7;
2019;08;20;15.5;
2019;08;21;13.6;
2019;08;22;14;
2019;08;23;15.3;
2019;08;24;18.6;
2019;08;25;19.2;
2019;08;26;19.6;
2019;08;27;19.3;
2019;08;28;18.8;
2019;08;29;19.1;
2019;08;30;18.9;
2019;08;31;19.9;
2019;09;1;19.4;
2019;09;2;14.1;
2019;09;3;11.8;
2019;09;4;13.4;
2019;09;5;13.1;
2019;09;6;12.7;
2019;09;7;11.5;
2019;09;8;11.6;
2019;09;9;10.2;
2019;09;10;10.8;
2019;09;11;11.6;
2019;09;12;14.1;
2019;09;13;14.4;
2019;09;14;12.7;
2019;09;15;13.8;
2019;09;16;14.1;
2019;09;17;13.5;
2019;09;18;7.9;
2019;09;19;5.5;
2019;09;20;6.9;
2019;09;21;8.7;
2019;09;22;9.8;
2019;09;23;12.8;
2019;09;24;13.1;
2019;09;25;12.5;
2019;09;26;14;
2019;09;27;13.8;
2019;09;28;13.1;
2019;09;29;15.7;
2019;09;30;11.3;
2019;10;1;11.8;
2019;10;2;7.7;
2019;10;3;7.1;
2019;10;4;8.9;
2019;10;5;6.7;
2019;10;6;6.2;
2019;10;7;4.9;
2019;10;8;10.4;
2019;10;9;9;
2019;10;10;8.8;
2019;10;11;8.7;
2019;10;12;10.8;
2019;10;13;12.5;
2019;10;14;11.4;
2019;10;15;11.6;
2019;10;16;9.2;
2019;10;17;9;
2019;10;18;10.3;
2019;10;19;9.3;
2019;10;20;7.7;
2019;10;21;10.5;
2019;10;22;9.2;
2019;10;23;13.5;
2019;10;24;11.3;
2019;10;25;9.8;
2019;10;26;8;
2019;10;27;9.8;
2019;10;28;2.9;
2019;10;29;3.6;
2019;10;30;.2;
2019;10;31;.4;
2019;11;1;3.7;
2019;11;2;9.3;
2019;11;3;7.9;
2019;11;4;9.2;
2019;11;5;3.6;
2019;11;6;5.3;
2019;11;7;4.9;
2019;11;8;4.4;
2019;11;9;2.7;
2019;11;10;-.6;
2019;11;11;-.6;
2019;11;12;2.8;
2019;11;13;2;
2019;11;14;2.6;
2019;11;15;5.2;
2019;11;16;2.5;
2019;11;17;8.1;
2019;11;18;1.8;
