#OPEN_EXPORT: 2023.05.05.1207
#Datum vytvoen souboru: 14.02.2024 22:12
#Staenm publikovanch dat souhlaste s podmnkami uit tchto dat.

METADATA
Stanice ID;Jmno stanice;Zatek men;Konec men;Zempisn dlka;Zempisn ka;Nadmosk vka
P1PKOM01;Praha
P1PKOM01;Praha

PSTROJE
Pstroj;Zatek men;Konec men;Vka pstroje [m]
Teplotnvlhkostn idlo;07.12.2017;31.12.2023;2

PRVEK
Prmrn denn teplota vzduchu [T.AVG

Popis:
Hodnota - hodnota prvku
Pznak - roziujc informace o hodnot

DATA
Rok;Msc;Den;Hodnota;Pznak
2017;12;1;;
2017;12;2;;
2017;12;3;;
2017;12;4;;
2017;12;5;;
2017;12;6;;
2017;12;7;;
2017;12;8;4.3;
2017;12;9;.4;
2017;12;10;.8;
2017;12;11;4.4;
2017;12;12;4.5;
2017;12;13;2;
2017;12;14;4.4;
2017;12;15;3;
2017;12;16;2.8;
2017;12;17;1.1;
2017;12;18;-1.6;
2017;12;19;-.9;
2017;12;20;1.5;
2017;12;21;4.3;
2017;12;22;5.4;
2017;12;23;7.3;
2017;12;24;7.5;
2017;12;25;2;
2017;12;26;.8;
2017;12;27;-.2;
2017;12;28;1.7;
2017;12;29;-.4;
2017;12;30;3.9;
2017;12;31;10;
2018;01;1;4.8;
2018;01;2;5.1;
2018;01;3;6.3;
2018;01;4;5.9;
2018;01;5;8.3;
2018;01;6;7.6;
2018;01;7;5.1;
2018;01;8;4;
2018;01;9;8;
2018;01;10;5.6;
2018;01;11;4.2;
2018;01;12;4.3;
2018;01;13;.4;
2018;01;14;.7;
2018;01;15;-.3;
2018;01;16;2.6;
2018;01;17;1.4;
2018;01;18;4.2;
2018;01;19;2.1;
2018;01;20;1.1;
2018;01;21;-.6;
2018;01;22;-.5;
2018;01;23;4.4;
2018;01;24;7.5;
2018;01;25;5.9;
2018;01;26;1.6;
2018;01;27;2.4;
2018;01;28;7.6;
2018;01;29;9.1;
2018;01;30;2.6;
2018;01;31;6.5;
2018;02;1;4.5;
2018;02;2;3.2;
2018;02;3;2.3;
2018;02;4;.3;
2018;02;5;-1.3;
2018;02;6;-1.6;
2018;02;7;.6;
2018;02;8;-.9;
2018;02;9;-.8;
2018;02;10;.8;
2018;02;11;2.9;
2018;02;12;1.7;
2018;02;13;-1.6;
2018;02;14;-2.6;
2018;02;15;-.4;
2018;02;16;2.6;
2018;02;17;-.1;
2018;02;18;.6;
2018;02;19;-.1;
2018;02;20;-.8;
2018;02;21;-1.3;
2018;02;22;-2.6;
2018;02;23;-3.4;
2018;02;24;-5.5;
2018;02;25;-8;
2018;02;26;-9.3;
2018;02;27;-9.6;
2018;02;28;-9.8;
2018;03;1;-8.7;
2018;03;2;-4.7;
2018;03;3;-3.3;
2018;03;4;-2.5;
2018;03;5;-.2;
2018;03;6;.3;
2018;03;7;4.4;
2018;03;8;5;
2018;03;9;5;
2018;03;10;9.9;
2018;03;11;10.6;
2018;03;12;8;
2018;03;13;9.1;
2018;03;14;4.2;
2018;03;15;6.2;
2018;03;16;3.3;
2018;03;17;-3.8;
2018;03;18;-4.4;
2018;03;19;-4.3;
2018;03;20;-.2;
2018;03;21;-.9;
2018;03;22;.9;
2018;03;23;3.2;
2018;03;24;1.7;
2018;03;25;.3;
2018;03;26;4;
2018;03;27;4;
2018;03;28;6.2;
2018;03;29;5.5;
2018;03;30;6.2;
2018;03;31;6.9;
2018;04;1;6.4;
2018;04;2;6;
2018;04;3;14.1;
2018;04;4;14.9;
2018;04;5;10.8;
2018;04;6;7.8;
2018;04;7;11.7;
2018;04;8;7.5;
2018;04;9;11.8;
2018;04;10;13.5;
2018;04;11;15.1;
2018;04;12;19.1;
2018;04;13;13.8;
2018;04;14;15.5;
2018;04;15;16.1;
2018;04;16;13;
2018;04;17;12.7;
2018;04;18;13.4;
2018;04;19;14.9;
2018;04;20;17.3;
2018;04;21;19.8;
2018;04;22;17.9;
2018;04;23;17.6;
2018;04;24;16;
2018;04;25;16;
2018;04;26;12.1;
2018;04;27;12.4;
2018;04;28;17.8;
2018;04;29;19.8;
2018;04;30;16.9;
2018;05;1;13.4;
2018;05;2;16.8;
2018;05;3;15.6;
2018;05;4;16;
2018;05;5;16.1;
2018;05;6;15.2;
2018;05;7;16.5;
2018;05;8;17.8;
2018;05;9;18.1;
2018;05;10;19.6;
2018;05;11;16.9;
2018;05;12;18;
2018;05;13;20.7;
2018;05;14;18.9;
2018;05;15;15.5;
2018;05;16;12.7;
2018;05;17;14;
2018;05;18;15.5;
2018;05;19;16.1;
2018;05;20;17.5;
2018;05;21;18.1;
2018;05;22;19.3;
2018;05;23;20.9;
2018;05;24;19.2;
2018;05;25;18.6;
2018;05;26;20.4;
2018;05;27;22.7;
2018;05;28;23.4;
2018;05;29;25;
2018;05;30;21.3;
2018;05;31;25;
2018;06;1;19.3;
2018;06;2;20.9;
2018;06;3;20.7;
2018;06;4;22.2;
2018;06;5;20.9;
2018;06;6;21.4;
2018;06;7;22.6;
2018;06;8;23.5;
2018;06;9;22.5;
2018;06;10;20.5;
2018;06;11;22.2;
2018;06;12;19.5;
2018;06;13;14.3;
2018;06;14;15.2;
2018;06;15;18.3;
2018;06;16;20;
2018;06;17;20.9;
2018;06;18;19.5;
2018;06;19;20.9;
2018;06;20;22.5;
2018;06;21;21.1;
2018;06;22;11.6;
2018;06;23;14.1;
2018;06;24;14.3;
2018;06;25;16.4;
2018;06;26;17.4;
2018;06;27;17.7;
2018;06;28;17.5;
2018;06;29;22.3;
2018;06;30;17.4;
2018;07;1;15.4;
2018;07;2;18.1;
2018;07;3;19.6;
2018;07;4;21.9;
2018;07;5;22.6;
2018;07;6;19.6;
2018;07;7;19.9;
2018;07;8;21.1;
2018;07;9;22.5;
2018;07;10;16.6;
2018;07;11;16.6;
2018;07;12;17.9;
2018;07;13;21.6;
2018;07;14;22.3;
2018;07;15;23.2;
2018;07;16;19.5;
2018;07;17;22.6;
2018;07;18;23.7;
2018;07;19;22.7;
2018;07;20;22.5;
2018;07;21;22.7;
2018;07;22;22.4;
2018;07;23;23.4;
2018;07;24;25.4;
2018;07;25;24.6;
2018;07;26;24.5;
2018;07;27;24.9;
2018;07;28;25.6;
2018;07;29;27.1;
2018;07;30;26.7;
2018;07;31;27;
2018;08;1;28.9;
2018;08;2;28;
2018;08;3;27.7;
2018;08;4;24.8;
2018;08;5;23;
2018;08;6;22.4;
2018;08;7;25.8;
2018;08;8;24.8;
2018;08;9;26.3;
2018;08;10;18.7;
2018;08;11;19.1;
2018;08;12;19.9;
2018;08;13;23.5;
2018;08;14;21.5;
2018;08;15;21.7;
2018;08;16;23.1;
2018;08;17;22.7;
2018;08;18;23.4;
2018;08;19;25.4;
2018;08;20;25.8;
2018;08;21;23.1;
2018;08;22;23.7;
2018;08;23;25.4;
2018;08;24;19.9;
2018;08;25;16.9;
2018;08;26;14.6;
2018;08;27;18.7;
2018;08;28;19.1;
2018;08;29;19.9;
2018;08;30;19.1;
2018;08;31;16.3;
2018;09;1;14.6;
2018;09;2;17.1;
2018;09;3;19;
2018;09;4;19.4;
2018;09;5;18.2;
2018;09;6;18.6;
2018;09;7;18.2;
2018;09;8;15.6;
2018;09;9;16.8;
2018;09;10;20;
2018;09;11;20.1;
2018;09;12;20.7;
2018;09;13;16.3;
2018;09;14;16.5;
2018;09;15;14.5;
2018;09;16;14.4;
2018;09;17;16.8;
2018;09;18;19.4;
2018;09;19;19.9;
2018;09;20;20.7;
2018;09;21;19.6;
2018;09;22;15;
2018;09;23;14.1;
2018;09;24;9.8;
2018;09;25;6.3;
2018;09;26;8.4;
2018;09;27;13.4;
2018;09;28;13.2;
2018;09;29;6.6;
2018;09;30;8;
2018;10;1;7.3;
2018;10;2;9.5;
2018;10;3;11.6;
2018;10;4;8.9;
2018;10;5;10.1;
2018;10;6;11.6;
2018;10;7;13.9;
2018;10;8;10.5;
2018;10;9;11.2;
2018;10;10;14.1;
2018;10;11;14.6;
2018;10;12;12.8;
2018;10;13;13.7;
2018;10;14;13.8;
2018;10;15;13.7;
2018;10;16;11;
2018;10;17;10.6;
2018;10;18;10.3;
2018;10;19;11.2;
2018;10;20;11.2;
2018;10;21;6.6;
2018;10;22;8.9;
2018;10;23;9.4;
2018;10;24;10.1;
2018;10;25;13;
2018;10;26;8.8;
2018;10;27;8.2;
2018;10;28;4.1;
2018;10;29;6.9;
2018;10;30;14.2;
2018;10;31;7.5;
2018;11;1;8.7;
2018;11;2;8.7;
2018;11;3;10.1;
2018;11;4;11.8;
2018;11;5;10.1;
2018;11;6;9.6;
2018;11;7;8.9;
2018;11;8;10.5;
2018;11;9;10.2;
2018;11;10;9.8;
2018;11;11;10.3;
2018;11;12;10;
2018;11;13;9.3;
2018;11;14;4.6;
2018;11;15;4.2;
2018;11;16;1.3;
2018;11;17;.5;
2018;11;18;-.9;
2018;11;19;.8;
2018;11;20;1.2;
2018;11;21;2.4;
2018;11;22;3.5;
2018;11;23;5;
2018;11;24;6.1;
2018;11;25;3.9;
2018;11;26;3.6;
2018;11;27;-1.6;
2018;11;28;-3.9;
2018;11;29;-3.4;
2018;11;30;-1.1;
2018;12;1;-.3;
2018;12;2;3.2;
2018;12;3;10.4;
2018;12;4;5;
2018;12;5;-.8;
2018;12;6;2.8;
2018;12;7;11;
2018;12;8;7.2;
2018;12;9;7.5;
2018;12;10;3.4;
2018;12;11;2.6;
2018;12;12;.5;
2018;12;13;-1.3;
2018;12;14;-1.6;
2018;12;15;-.6;
2018;12;16;-1.5;
2018;12;17;2;
2018;12;18;1.8;
2018;12;19;-.4;
2018;12;20;1.9;
2018;12;21;7.8;
2018;12;22;8.4;
2018;12;23;6.8;
2018;12;24;1.9;
2018;12;25;3.5;
2018;12;26;3.6;
2018;12;27;4.9;
2018;12;28;5;
2018;12;29;3.3;
2018;12;30;5.2;
2018;12;31;4.7;
2019;01;1;6.3;
2019;01;2;1.3;
2019;01;3;-1.8;
2019;01;4;-.4;
2019;01;5;4.7;
2019;01;6;.8;
2019;01;7;2.4;
2019;01;8;4.3;
2019;01;9;1;
2019;01;10;.3;
2019;01;11;-1.3;
2019;01;12;3.1;
2019;01;13;5.3;
2019;01;14;1.2;
2019;01;15;3.6;
2019;01;16;3.8;
2019;01;17;6.4;
2019;01;18;-2.1;
2019;01;19;-5;
2019;01;20;-2.3;
2019;01;21;-5.2;
2019;01;22;-5.4;
2019;01;23;-4.6;
2019;01;24;-3.5;
2019;01;25;-2.4;
2019;01;26;1.7;
2019;01;27;3.4;
2019;01;28;3.7;
