#OPEN_EXPORT: 2023.05.05.1207
#Datum vytvoen souboru: 14.02.2024 22:12
#Staenm publikovanch dat souhlaste s podmnkami uit tchto dat.

METADATA
Stanice ID;Jmno stanice;Zatek men;Konec men;Zempisn dlka;Zempisn ka;Nadmosk vka
P1PSTR01;Praha

PSTROJE
Pstroj;Zatek men;Konec men;Vka pstroje [m]
Teplomr;01.01.2003;31.05.2010;2
Teplomr;01.01.2011;30.06.2017;2

PRVEK
Prmrn denn teplota vzduchu [T.AVG

Popis:
Hodnota - hodnota prvku
Pznak - roziujc informace o hodnot

DATA
Rok;Msc;Den;Hodnota;Pznak
2003;01;1;-7.1;
2003;01;2;8;
2003;01;3;7.3;
2003;01;4;.1;
2003;01;5;-4.8;
2003;01;6;-3.3;
2003;01;7;-9;
2003;01;8;-9.2;
2003;01;9;-9.3;
2003;01;10;-6.1;
2003;01;11;-6.4;
2003;01;12;-5.1;
2003;01;13;-1.4;
2003;01;14;4.1;
2003;01;15;3.7;
2003;01;16;3.8;
2003;01;17;.5;
2003;01;18;1.9;
2003;01;19;.8;
2003;01;20;.3;
2003;01;21;-2.4;
2003;01;22;.2;
2003;01;23;2.4;
2003;01;24;2.3;
2003;01;25;1.2;
2003;01;26;2;
2003;01;27;4.8;
2003;01;28;4.8;
2003;01;29;1.8;
2003;01;30;0;
2003;01;31;-2;
2003;02;1;-3.8;
2003;02;2;-4.3;
2003;02;3;2.7;
2003;02;4;-1.1;
2003;02;5;-.5;
2003;02;6;-2.1;
2003;02;7;-1;
2003;02;8;-3.2;
2003;02;9;-2.8;
2003;02;10;-2.5;
2003;02;11;-3.2;
2003;02;12;-5.3;
2003;02;13;-5.8;
2003;02;14;-4.7;
2003;02;15;-3;
2003;02;16;-4.5;
2003;02;17;-6.1;
2003;02;18;-5.4;
2003;02;19;-3.6;
2003;02;20;-3.3;
2003;02;21;-3.4;
2003;02;22;-.5;
2003;02;23;-1.5;
2003;02;24;-1.6;
2003;02;25;-.5;
2003;02;26;-.3;
2003;02;27;-.3;
2003;02;28;2.8;
2003;03;1;4.7;
2003;03;2;4.1;
2003;03;3;4.9;
2003;03;4;2;
2003;03;5;3.3;
2003;03;6;1.4;
2003;03;7;2;
2003;03;8;5;
2003;03;9;7.6;
2003;03;10;9.9;
2003;03;11;12.7;
2003;03;12;7.1;
2003;03;13;2.5;
2003;03;14;1.1;
2003;03;15;2.1;
2003;03;16;4;
2003;03;17;3.5;
2003;03;18;5.9;
2003;03;19;6.6;
2003;03;20;2.6;
2003;03;21;.6;
2003;03;22;.2;
2003;03;23;3.2;
2003;03;24;7.9;
2003;03;25;8.9;
2003;03;26;9;
2003;03;27;10.8;
2003;03;28;10.1;
2003;03;29;9.3;
2003;03;30;13;
2003;03;31;7.5;
2003;04;1;9.3;
2003;04;2;6.9;
2003;04;3;5.6;
2003;04;4;5.5;
2003;04;5;4.3;
2003;04;6;-1.1;
2003;04;7;-1.3;
2003;04;8;-1.2;
2003;04;9;0;
2003;04;10;4.9;
2003;04;11;2;
2003;04;12;6.3;
2003;04;13;9.4;
2003;04;14;11.8;
2003;04;15;14.4;
2003;04;16;13.2;
2003;04;17;12;
2003;04;18;6.4;
2003;04;19;8.4;
2003;04;20;14.7;
2003;04;21;14.2;
2003;04;22;14;
2003;04;23;13.8;
2003;04;24;12.7;
2003;04;25;14.8;
2003;04;26;18.2;
2003;04;27;12.7;
2003;04;28;16.1;
2003;04;29;17.5;
2003;04;30;19.4;
2003;05;1;15.7;
2003;05;2;17.9;
2003;05;3;12.7;
2003;05;4;17.5;
2003;05;5;21;
2003;05;6;22;
2003;05;7;17.3;
2003;05;8;21.3;
2003;05;9;16.7;
2003;05;10;16.1;
2003;05;11;16.7;
2003;05;12;16.5;
2003;05;13;14.7;
2003;05;14;11.3;
2003;05;15;8.1;
2003;05;16;11.5;
2003;05;17;16;
2003;05;18;15.8;
2003;05;19;17.1;
2003;05;20;13.5;
2003;05;21;13.6;
2003;05;22;14.6;
2003;05;23;17.8;
2003;05;24;21.1;
2003;05;25;21.5;
2003;05;26;18.4;
2003;05;27;17;
2003;05;28;18.3;
2003;05;29;20.2;
2003;05;30;19.2;
2003;05;31;20;
2003;06;1;20.3;
2003;06;2;21.5;
2003;06;3;23.6;
2003;06;4;25.2;
2003;06;5;23.9;
2003;06;6;22;
2003;06;7;22.5;
2003;06;8;23.6;
2003;06;9;22;
2003;06;10;24;
2003;06;11;23;
2003;06;12;24.2;
2003;06;13;21.8;
2003;06;14;21.9;
2003;06;15;19.9;
2003;06;16;20.2;
2003;06;17;21.4;
2003;06;18;17.7;
2003;06;19;19.4;
2003;06;20;18;
2003;06;21;16.1;
2003;06;22;18.2;
2003;06;23;22.7;
2003;06;24;22.2;
2003;06;25;19.2;
2003;06;26;18.2;
2003;06;27;19.8;
2003;06;28;21.7;
2003;06;29;22.7;
2003;06;30;26.3;
2003;07;1;15.8;
2003;07;2;19.2;
2003;07;3;18.1;
2003;07;4;17.5;
2003;07;5;16;
2003;07;6;16.5;
2003;07;7;16.5;
2003;07;8;18.7;
2003;07;9;18.3;
2003;07;10;17.8;
2003;07;11;19.7;
2003;07;12;18.9;
2003;07;13;17.6;
2003;07;14;19.8;
2003;07;15;22.3;
2003;07;16;24.9;
2003;07;17;20.7;
2003;07;18;19.7;
2003;07;19;22.3;
2003;07;20;24.5;
2003;07;21;27;
2003;07;22;23;
2003;07;23;21.7;
2003;07;24;24.5;
2003;07;25;19.8;
2003;07;26;22.2;
2003;07;27;25.1;
2003;07;28;19.1;
2003;07;29;18.3;
2003;07;30;21.4;
2003;07;31;21.2;
2003;08;1;23.7;
2003;08;2;25.2;
2003;08;3;26.8;
2003;08;4;27.4;
2003;08;5;25.8;
2003;08;6;23.4;
2003;08;7;23.6;
2003;08;8;24.8;
2003;08;9;24.6;
2003;08;10;25.5;
2003;08;11;22.2;
2003;08;12;24.1;
2003;08;13;26.7;
2003;08;14;23.6;
2003;08;15;18.9;
2003;08;16;20.3;
2003;08;17;21.6;
2003;08;18;22.1;
2003;08;19;20.7;
2003;08;20;21.4;
2003;08;21;21.8;
2003;08;22;22.9;
2003;08;23;22.6;
2003;08;24;18.2;
2003;08;25;18.6;
2003;08;26;19.5;
2003;08;27;17.5;
2003;08;28;19.3;
2003;08;29;21.3;
2003;08;30;16.3;
2003;08;31;14.6;
2003;09;1;13.9;
2003;09;2;11.7;
2003;09;3;13.6;
2003;09;4;15.7;
2003;09;5;14;
2003;09;6;16.3;
2003;09;7;16.8;
2003;09;8;18.3;
2003;09;9;15.2;
2003;09;10;15.6;
2003;09;11;13;
2003;09;12;14.3;
2003;09;13;13.2;
2003;09;14;13.9;
2003;09;15;13.2;
2003;09;16;14.8;
2003;09;17;15.7;
2003;09;18;17;
2003;09;19;18.8;
2003;09;20;18.9;
2003;09;21;20.4;
2003;09;22;19.6;
2003;09;23;14.4;
2003;09;24;10;
2003;09;25;9.6;
2003;09;26;11.3;
2003;09;27;12.6;
2003;09;28;13.2;
2003;09;29;13.8;
2003;09;30;10.3;
2003;10;1;12.5;
2003;10;2;15.2;
2003;10;3;14.1;
2003;10;4;12.7;
2003;10;5;7.8;
2003;10;6;9.3;
2003;10;7;8.1;
2003;10;8;8.5;
2003;10;9;9.1;
2003;10;10;12.9;
2003;10;11;12.9;
2003;10;12;8.1;
2003;10;13;5.4;
2003;10;14;5.7;
2003;10;15;6.9;
2003;10;16;5.8;
2003;10;17;3.2;
2003;10;18;4.6;
2003;10;19;2.5;
2003;10;20;4.6;
2003;10;21;4;
2003;10;22;4;
2003;10;23;.4;
2003;10;24;-1.8;
2003;10;25;2.3;
2003;10;26;4.6;
2003;10;27;2.4;
2003;10;28;1.5;
2003;10;29;2;
2003;10;30;5.9;
2003;10;31;6.1;
2003;11;1;7.6;
2003;11;2;8.4;
2003;11;3;9.9;
2003;11;4;8.6;
2003;11;5;4.3;
2003;11;6;2.4;
2003;11;7;5.6;
