#OPEN_EXPORT: 2023.05.05.1207
#Datum vytvoen souboru: 14.02.2024 22:12
#Staenm publikovanch dat souhlaste s podmnkami uit tchto dat.

METADATA
Stanice ID;Jmno stanice;Zatek men;Konec men;Zempisn dlka;Zempisn ka;Nadmosk vka
P1PVIN01;Praha
P1PVIN01;Praha

PSTROJE
Pstroj;Zatek men;Konec men;Vka pstroje [m]
Teplomr;01.01.1961;31.12.1965;2
Teplotnvlhkostn idlo;31.08.2018;31.12.2023;2

PRVEK
Prmrn denn teplota vzduchu [T.AVG

Popis:
Hodnota - hodnota prvku
Pznak - roziujc informace o hodnot

DATA
Rok;Msc;Den;Hodnota;Pznak
1961;01;1;.1;
1961;01;2;-.5;
1961;01;3;1.9;
1961;01;4;1.7;
1961;01;5;2.3;
1961;01;6;1.7;
1961;01;7;2.4;
1961;01;8;2.5;
1961;01;9;3.6;
1961;01;10;2.5;
1961;01;11;1.4;
1961;01;12;-2.4;
1961;01;13;-2;
1961;01;14;0;
1961;01;15;-.7;
1961;01;16;-4.7;
1961;01;17;-3.8;
1961;01;18;-7.8;
1961;01;19;-7;
1961;01;20;-6.7;
1961;01;21;-3.5;
1961;01;22;-.8;
1961;01;23;-2.3;
1961;01;24;-2.8;
1961;01;25;-6.3;
1961;01;26;-8;
1961;01;27;-8.9;
1961;01;28;-8.2;
1961;01;29;2.2;
1961;01;30;6.2;
1961;01;31;6.1;
1961;02;1;2.5;
1961;02;2;2.6;
1961;02;3;2.3;
1961;02;4;1.1;
1961;02;5;-.9;
1961;02;6;2;
1961;02;7;4.4;
1961;02;8;3.7;
1961;02;9;6.2;
1961;02;10;4.4;
1961;02;11;5.4;
1961;02;12;5.2;
1961;02;13;5;
1961;02;14;6.5;
1961;02;15;4.4;
1961;02;16;5;
1961;02;17;6;
1961;02;18;1.5;
1961;02;19;2.9;
1961;02;20;5.6;
1961;02;21;4.9;
1961;02;22;4;
1961;02;23;4.6;
1961;02;24;4.6;
1961;02;25;2.7;
1961;02;26;3.4;
1961;02;27;6.4;
1961;02;28;7;
1961;03;1;4.2;
1961;03;2;5.3;
1961;03;3;5.8;
1961;03;4;4.7;
1961;03;5;7.2;
1961;03;6;6.3;
1961;03;7;8.4;
1961;03;8;8.6;
1961;03;9;8.3;
1961;03;10;11.1;
1961;03;11;9.5;
1961;03;12;12.6;
1961;03;13;9.2;
1961;03;14;10.3;
1961;03;15;11.3;
1961;03;16;12.8;
1961;03;17;12;
1961;03;18;11.4;
1961;03;19;4.4;
1961;03;20;3.6;
1961;03;21;3.2;
1961;03;22;1.8;
1961;03;23;6.6;
1961;03;24;8.8;
1961;03;25;8.8;
1961;03;26;11.3;
1961;03;27;5.1;
1961;03;28;2.7;
1961;03;29;6.1;
1961;03;30;8.8;
1961;03;31;6.1;
1961;04;1;9.3;
1961;04;2;9.7;
1961;04;3;9.6;
1961;04;4;10.8;
1961;04;5;15.7;
1961;04;6;17.4;
1961;04;7;18.6;
1961;04;8;12.2;
1961;04;9;7.7;
1961;04;10;9.8;
1961;04;11;12.8;
1961;04;12;13.4;
1961;04;13;16.3;
1961;04;14;17.7;
1961;04;15;15.9;
1961;04;16;10.2;
1961;04;17;12.3;
1961;04;18;13.4;
1961;04;19;12.2;
1961;04;20;11.5;
1961;04;21;13.6;
1961;04;22;14.6;
1961;04;23;11.9;
1961;04;24;14.3;
1961;04;25;11.8;
1961;04;26;14.1;
1961;04;27;12.5;
1961;04;28;11.8;
1961;04;29;13.6;
1961;04;30;14;
1961;05;1;12.5;
1961;05;2;13.9;
1961;05;3;12.9;
1961;05;4;13.4;
1961;05;5;17.6;
1961;05;6;14.9;
1961;05;7;13.1;
1961;05;8;10.4;
1961;05;9;9.3;
1961;05;10;8.3;
1961;05;11;8.8;
1961;05;12;7.7;
1961;05;13;10.3;
1961;05;14;10.9;
1961;05;15;9.1;
1961;05;16;9.7;
1961;05;17;9.6;
1961;05;18;10.6;
1961;05;19;12.2;
1961;05;20;13.4;
1961;05;21;12.8;
1961;05;22;14;
1961;05;23;13.2;
1961;05;24;15.7;
1961;05;25;16.5;
1961;05;26;17.1;
1961;05;27;13.7;
1961;05;28;7.8;
1961;05;29;8.2;
1961;05;30;9.7;
1961;05;31;13.6;
1961;06;1;18.6;
1961;06;2;19.2;
1961;06;3;15.3;
1961;06;4;15.4;
1961;06;5;18.1;
1961;06;6;16.7;
1961;06;7;19;
1961;06;8;17.5;
1961;06;9;18.4;
1961;06;10;15.9;
1961;06;11;15.3;
1961;06;12;15.4;
1961;06;13;14.8;
1961;06;14;14.6;
1961;06;15;14.7;
1961;06;16;16.9;
1961;06;17;18.7;
1961;06;18;22.4;
1961;06;19;17;
1961;06;20;16.7;
1961;06;21;18.3;
1961;06;22;20.9;
1961;06;23;21.4;
1961;06;24;22.4;
1961;06;25;25.4;
1961;06;26;23.3;
1961;06;27;20.3;
1961;06;28;15.9;
1961;06;29;18.3;
1961;06;30;20.4;
1961;07;1;23.2;
1961;07;2;24.7;
1961;07;3;25.7;
1961;07;4;19.2;
1961;07;5;14.4;
1961;07;6;13.7;
1961;07;7;15.8;
1961;07;8;17.7;
1961;07;9;14.8;
1961;07;10;16.6;
1961;07;11;21.6;
1961;07;12;23.8;
1961;07;13;18;
1961;07;14;18;
1961;07;15;18.4;
1961;07;16;17.3;
1961;07;17;14.6;
