#OPEN_EXPORT: 2023.05.05.1207
#Datum vytvoen souboru: 14.02.2024 21:53
#Staenm publikovanch dat souhlaste s podmnkami uit tchto dat.

METADATA
Stanice ID;Jmno stanice;Zatek men;Konec men;Zempisn dlka;Zempisn ka;Nadmosk vka
C1SOLE01;Solenice;01.01.1962;30.06.1994;14.1803;49.6119;359

PSTROJE
Pstroj;Zatek men;Konec men;Vka pstroje [m]
Teplomr;01.01.1962;30.06.1994;2

PRVEK
Prmrn denn teplota vzduchu [T.AVG

Popis:
Hodnota - hodnota prvku
Pznak - roziujc informace o hodnot

DATA
Rok;Msc;Den;Hodnota;Pznak
1962;01;1;1.2;
1962;01;2;-2.3;
1962;01;3;-7.1;
1962;01;4;-7.8;
1962;01;5;-9.2;
1962;01;6;-1.8;
1962;01;7;.4;
1962;01;8;-1.5;
1962;01;9;-2.3;
1962;01;10;-2.9;
1962;01;11;1.9;
1962;01;12;4.9;
1962;01;13;2.2;
1962;01;14;1.4;
1962;01;15;.1;
1962;01;16;0;
1962;01;17;-.6;
1962;01;18;-.2;
1962;01;19;3.9;
1962;01;20;6.5;
1962;01;21;6.5;
1962;01;22;4.3;
1962;01;23;1.8;
1962;01;24;3;
1962;01;25;7.2;
1962;01;26;5;
1962;01;27;3.3;
1962;01;28;-1.1;
1962;01;29;-5.3;
1962;01;30;-8.6;
1962;01;31;-10.1;
1962;02;1;-8.4;
1962;02;2;-5.7;
1962;02;3;-2.1;
1962;02;4;-3.2;
1962;02;5;2.6;
1962;02;6;2.5;
1962;02;7;5.3;
1962;02;8;1.8;
1962;02;9;-.3;
1962;02;10;-1.8;
1962;02;11;0;
1962;02;12;5.6;
1962;02;13;1.6;
1962;02;14;-1.1;
1962;02;15;-4.1;
1962;02;16;2.3;
1962;02;17;2.8;
1962;02;18;1.2;
1962;02;19;2.9;
1962;02;20;2.9;
1962;02;21;1.9;
1962;02;22;-3;
1962;02;23;-3.5;
1962;02;24;-4;
1962;02;25;-5.5;
1962;02;26;-3.2;
1962;02;27;-1.2;
1962;02;28;.2;
1962;03;1;.5;
1962;03;2;.2;
1962;03;3;.7;
1962;03;4;1.3;
1962;03;5;4.6;
1962;03;6;-.9;
1962;03;7;-1.6;
1962;03;8;-2.2;
1962;03;9;-.2;
1962;03;10;3.1;
1962;03;11;3.4;
1962;03;12;2.2;
1962;03;13;-2.7;
1962;03;14;-5.7;
1962;03;15;-4.1;
1962;03;16;-3.4;
1962;03;17;-3;
1962;03;18;-3;
1962;03;19;-1.9;
1962;03;20;-2.2;
1962;03;21;-3.9;
1962;03;22;-1.8;
1962;03;23;-2.6;
1962;03;24;-2.9;
1962;03;25;-.5;
1962;03;26;-.1;
1962;03;27;2.9;
1962;03;28;3.7;
1962;03;29;3.7;
1962;03;30;8.7;
1962;03;31;7.4;
1962;04;1;2.9;
1962;04;2;3.4;
1962;04;3;7.7;
1962;04;4;4.8;
1962;04;5;4.5;
1962;04;6;3;
1962;04;7;4.4;
1962;04;8;8.6;
1962;04;9;5.9;
1962;04;10;2.2;
1962;04;11;5.3;
1962;04;12;4.5;
1962;04;13;1.7;
1962;04;14;2.2;
1962;04;15;6.9;
1962;04;16;6;
1962;04;17;9.4;
1962;04;18;15;
1962;04;19;15.6;
1962;04;20;14.8;
1962;04;21;15.4;
1962;04;22;14.2;
1962;04;23;14.4;
1962;04;24;17.5;
1962;04;25;16.5;
1962;04;26;16;
1962;04;27;8.3;
1962;04;28;6.1;
1962;04;29;4.1;
1962;04;30;2.9;
1962;05;1;3.9;
1962;05;2;4.2;
1962;05;3;6.2;
1962;05;4;6.1;
1962;05;5;5.5;
1962;05;6;12.4;
1962;05;7;13.9;
1962;05;8;15.9;
1962;05;9;14.2;
1962;05;10;12.3;
1962;05;11;8.8;
1962;05;12;8;
1962;05;13;10;
1962;05;14;9;
1962;05;15;8;
1962;05;16;7.5;
1962;05;17;9.9;
1962;05;18;10.5;
1962;05;19;13.3;
1962;05;20;10.1;
1962;05;21;10.6;
1962;05;22;10.8;
1962;05;23;13.9;
1962;05;24;9.6;
1962;05;25;9.1;
1962;05;26;6.6;
1962;05;27;8.6;
1962;05;28;10.8;
1962;05;29;13.2;
1962;05;30;11.3;
1962;05;31;15.5;
1962;06;1;6.1;
1962;06;2;6.2;
1962;06;3;7.4;
1962;06;4;9.9;
1962;06;5;10.6;
1962;06;6;9.6;
1962;06;7;10.7;
1962;06;8;13.2;
1962;06;9;15.2;
1962;06;10;14.8;
1962;06;11;12.3;
1962;06;12;11.1;
1962;06;13;13.8;
1962;06;14;17.7;
1962;06;15;20.2;
1962;06;16;18.4;
1962;06;17;18.3;
1962;06;18;19;
1962;06;19;19;
1962;06;20;15.8;
1962;06;21;18;
1962;06;22;19.8;
1962;06;23;23.7;
1962;06;24;23.8;
1962;06;25;17.3;
1962;06;26;16.6;
1962;06;27;11.8;
1962;06;28;9.7;
1962;06;29;10;
1962;06;30;10.4;
1962;07;1;12;
1962;07;2;12.6;
1962;07;3;11.8;
1962;07;4;10.8;
1962;07;5;10.8;
1962;07;6;13.9;
1962;07;7;11;
1962;07;8;15.9;
1962;07;9;16.3;
1962;07;10;19.3;
1962;07;11;18.1;
1962;07;12;18;
1962;07;13;13.9;
1962;07;14;15.4;
1962;07;15;14.5;
1962;07;16;14.7;
1962;07;17;14.9;
1962;07;18;14;
1962;07;19;15.6;
1962;07;20;18;
1962;07;21;21.2;
1962;07;22;19;
1962;07;23;16.4;
1962;07;24;16.5;
1962;07;25;19.8;
1962;07;26;23.6;
1962;07;27;20.9;
1962;07;28;15.1;
1962;07;29;15.9;
1962;07;30;15.8;
1962;07;31;17.3;
1962;08;1;18.5;
1962;08;2;20.8;
1962;08;3;18;
1962;08;4;20.9;
1962;08;5;19.4;
1962;08;6;19.8;
1962;08;7;15;
1962;08;8;14.4;
1962;08;9;15;
1962;08;10;15.3;
1962;08;11;19.1;
1962;08;12;21.4;
1962;08;13;22.6;
1962;08;14;23.9;
1962;08;15;19.2;
1962;08;16;18.6;
1962;08;17;15.8;
1962;08;18;13.9;
1962;08;19;12.7;
1962;08;20;14.6;
1962;08;21;16.4;
1962;08;22;14.5;
1962;08;23;16.6;
1962;08;24;19.9;
1962;08;25;13.6;
1962;08;26;17.1;
1962;08;27;18.2;
1962;08;28;16.4;
1962;08;29;17.7;
1962;08;30;11.7;
1962;08;31;13.8;
1962;09;1;14.6;
1962;09;2;13.6;
1962;09;3;16.5;
1962;09;4;22.9;
1962;09;5;16.9;
1962;09;6;19.2;
1962;09;7;16.4;
1962;09;8;14.1;
1962;09;9;10.9;
1962;09;10;15.3;
1962;09;11;16.6;
1962;09;12;22.9;
1962;09;13;10.4;
1962;09;14;8.3;
1962;09;15;13.1;
1962;09;16;16.1;
1962;09;17;10.1;
1962;09;18;8.5;
1962;09;19;8.5;
1962;09;20;8.6;
1962;09;21;9;
1962;09;22;10.6;
1962;09;23;9.5;
1962;09;24;7.9;
1962;09;25;8.3;
1962;09;26;12.2;
1962;09;27;9.5;
1962;09;28;8.5;
1962;09;29;10.6;
1962;09;30;12.9;
1962;10;1;13.4;
1962;10;2;13.5;
1962;10;3;12.2;
1962;10;4;14.5;
1962;10;5;14;
1962;10;6;10.9;
1962;10;7;12.5;
1962;10;8;11.3;
1962;10;9;10.9;
1962;10;10;10.7;
1962;10;11;9.8;
1962;10;12;6.9;
1962;10;13;7.1;
1962;10;14;8.4;
1962;10;15;7.3;
1962;10;16;6.1;
1962;10;17;7.7;
1962;10;18;6.6;
1962;10;19;9.3;
1962;10;20;7.2;
1962;10;21;3.9;
1962;10;22;5.4;
1962;10;23;4.2;
1962;10;24;3.4;
1962;10;25;3.4;
1962;10;26;6.8;
1962;10;27;3.9;
1962;10;28;4.7;
1962;10;29;2.8;
1962;10;30;2.3;
1962;10;31;2.5;
1962;11;1;3.6;
1962;11;2;4.3;
1962;11;3;5.4;
1962;11;4;5.5;
1962;11;5;8.8;
1962;11;6;9;
1962;11;7;10;
1962;11;8;10.1;
1962;11;9;9.6;
1962;11;10;4.9;
1962;11;11;2;
1962;11;12;3;
