#OPEN_EXPORT: 2023.05.05.1207
#Datum vytvoen souboru: 14.02.2024 21:54
#Staenm publikovanch dat souhlaste s podmnkami uit tchto dat.

METADATA
Stanice ID;Jmno stanice;Zatek men;Konec men;Zempisn dlka;Zempisn ka;Nadmosk vka
C2KLCE01;Klenovice;01.08.2000;31.12.2012;14.2042;49.5825;422

PSTROJE
Pstroj;Zatek men;Konec men;Vka pstroje [m]
Teplomr;01.09.2000;31.12.2012;2

PRVEK
Prmrn denn teplota vzduchu [T.AVG

Popis:
Hodnota - hodnota prvku
Pznak - roziujc informace o hodnot

DATA
Rok;Msc;Den;Hodnota;Pznak
2001;01;1;-4.9;
2001;01;2;-3.3;
2001;01;3;.2;
2001;01;4;-.8;
2001;01;5;1.6;
2001;01;6;5.3;
2001;01;7;2.1;
2001;01;8;.8;
2001;01;9;-.1;
2001;01;10;-1.5;
2001;01;11;-.7;
2001;01;12;-4.5;
2001;01;13;-8;
2001;01;14;-10.8;
2001;01;15;-11.2;
2001;01;16;-9.7;
2001;01;17;-4.4;
2001;01;18;-4;
2001;01;19;-2.6;
2001;01;20;-1.8;
2001;01;21;-2.3;
2001;01;22;-2.5;
2001;01;23;-2.5;
2001;01;24;-1.5;
2001;01;25;.8;
2001;01;26;1.3;
2001;01;27;.4;
2001;01;28;0;
2001;01;29;-1.3;
2001;01;30;-.9;
2001;01;31;-1.8;
2001;02;1;-2.8;
2001;02;2;-4.4;
2001;02;3;-3.4;
2001;02;4;2.3;
2001;02;5;5.4;
2001;02;6;8.6;
2001;02;7;4.7;
2001;02;8;2.1;
2001;02;9;4.4;
2001;02;10;.2;
2001;02;11;2.4;
2001;02;12;4.1;
2001;02;13;2.8;
2001;02;14;1.7;
2001;02;15;1.4;
2001;02;16;1.8;
2001;02;17;2.1;
2001;02;18;1.6;
2001;02;19;2.6;
2001;02;20;2;
2001;02;21;3;
2001;02;22;1.8;
2001;02;23;-1.8;
2001;02;24;-4.7;
2001;02;25;-4.3;
2001;02;26;-3.1;
