#OPEN_EXPORT: 2023.05.05.1207
#Datum vytvoen souboru: 14.02.2024 21:58
#Staenm publikovanch dat souhlaste s podmnkami uit tchto dat.

METADATA
Stanice ID;Jmno stanice;Zatek men;Konec men;Zempisn dlka;Zempisn ka;Nadmosk vka
H3KOLI01;Koln;01.01.1967;31.12.1979;15.2333;50.0333;206

PSTROJE
Pstroj;Zatek men;Konec men;Vka pstroje [m]
Teplomr;01.01.1967;31.12.1969;2
Teplomr;01.08.1971;31.12.1979;2

PRVEK
Prmrn denn teplota vzduchu [T.AVG

Popis:
Hodnota - hodnota prvku
Pznak - roziujc informace o hodnot

DATA
Rok;Msc;Den;Hodnota;Pznak
1967;01;1;5;
1967;01;2;1.7;
1967;01;3;.9;
1967;01;4;-1.1;
1967;01;5;-1.8;
1967;01;6;-5.7;
1967;01;7;-4.7;
1967;01;8;-8.4;
1967;01;9;-9.6;
1967;01;10;-14.4;
1967;01;11;-2.1;
1967;01;12;.3;
1967;01;13;2.9;
1967;01;14;2.6;
1967;01;15;1.8;
1967;01;16;-1.5;
1967;01;17;-1.2;
1967;01;18;-2.5;
1967;01;19;-4.4;
1967;01;20;-5.4;
1967;01;21;-3.4;
1967;01;22;.5;
1967;01;23;1.5;
1967;01;24;1.2;
1967;01;25;2.6;
1967;01;26;5.6;
1967;01;27;1;
1967;01;28;-.1;
1967;01;29;5.4;
1967;01;30;3.2;
1967;01;31;1.5;
1967;02;1;4.5;
1967;02;2;7.6;
1967;02;3;9.7;
1967;02;4;7.3;
1967;02;5;4.3;
1967;02;6;4.8;
1967;02;7;2.7;
1967;02;8;.2;
1967;02;9;-2.3;
1967;02;10;-1.4;
1967;02;11;-2.3;
1967;02;12;-2.7;
1967;02;13;-4.6;
1967;02;14;-4.2;
1967;02;15;-2.6;
1967;02;16;-.8;
1967;02;17;.5;
1967;02;18;.6;
1967;02;19;3.3;
1967;02;20;4.3;
1967;02;21;6;
1967;02;22;5.2;
1967;02;23;6.6;
1967;02;24;3.7;
1967;02;25;2.4;
1967;02;26;4.5;
1967;02;27;7;
1967;02;28;7.4;
1967;03;1;5.1;
1967;03;2;4.3;
1967;03;3;6;
1967;03;4;7.1;
1967;03;5;7.4;
1967;03;6;6.2;
1967;03;7;6.8;
1967;03;8;4.9;
1967;03;9;9.4;
1967;03;10;10.2;
1967;03;11;8.8;
1967;03;12;4.7;
1967;03;13;4.2;
1967;03;14;4.3;
1967;03;15;7.1;
1967;03;16;3.9;
1967;03;17;3.5;
1967;03;18;4.3;
1967;03;19;2.7;
1967;03;20;2.1;
1967;03;21;5.5;
1967;03;22;8.7;
1967;03;23;5;
1967;03;24;3.9;
1967;03;25;7.2;
1967;03;26;11.9;
1967;03;27;9.7;
1967;03;28;6.5;
1967;03;29;4.4;
1967;03;30;4.2;
1967;03;31;4.7;
1967;04;1;4.9;
1967;04;2;3.1;
1967;04;3;5.2;
1967;04;4;6.5;
1967;04;5;6.8;
1967;04;6;5.8;
1967;04;7;5.4;
1967;04;8;7.1;
1967;04;9;12.7;
1967;04;10;16.7;
1967;04;11;12.8;
1967;04;12;12.7;
1967;04;13;11.1;
1967;04;14;10.5;
1967;04;15;12;
1967;04;16;11.8;
1967;04;17;14.5;
1967;04;18;5;
1967;04;19;4.9;
1967;04;20;12.2;
1967;04;21;9.4;
1967;04;22;5.2;
1967;04;23;4.6;
1967;04;24;4;
1967;04;25;3;
1967;04;26;3;
1967;04;27;8;
1967;04;28;10;
1967;04;29;11.5;
1967;04;30;11.2;
1967;05;1;15.8;
1967;05;2;11.4;
1967;05;3;5.5;
1967;05;4;6.2;
1967;05;5;8;
1967;05;6;11.3;
1967;05;7;13;
1967;05;8;16.2;
1967;05;9;16.3;
1967;05;10;16.7;
1967;05;11;17.3;
1967;05;12;17.3;
1967;05;13;20.5;
1967;05;14;19.8;
1967;05;15;19.3;
1967;05;16;17.3;
1967;05;17;13.4;
1967;05;18;12.7;
1967;05;19;10.3;
1967;05;20;12.8;
1967;05;21;12.5;
1967;05;22;13.7;
1967;05;23;14.5;
1967;05;24;10.6;
1967;05;25;10.3;
1967;05;26;11.8;
1967;05;27;13.8;
1967;05;28;15.2;
1967;05;29;19.1;
1967;05;30;14;
1967;05;31;13.7;
1967;06;1;15.2;
1967;06;2;13.6;
1967;06;3;15.8;
1967;06;4;17.6;
1967;06;5;15.4;
1967;06;6;16.7;
1967;06;7;21.4;
1967;06;8;13.2;
1967;06;9;14.5;
1967;06;10;10.6;
1967;06;11;11.1;
1967;06;12;9.4;
1967;06;13;9.5;
1967;06;14;10.5;
1967;06;15;10.9;
1967;06;16;14;
1967;06;17;16.3;
1967;06;18;17.8;
1967;06;19;19.2;
1967;06;20;17.8;
1967;06;21;15.6;
1967;06;22;17.4;
1967;06;23;21.4;
1967;06;24;25;
1967;06;25;26;
1967;06;26;25;
1967;06;27;22.3;
1967;06;28;17.4;
1967;06;29;19.8;
