#OPEN_EXPORT: 2023.05.05.1207
#Datum vytvoen souboru: 14.02.2024 21:58
#Staenm publikovanch dat souhlaste s podmnkami uit tchto dat.

METADATA
Stanice ID;Jmno stanice;Zatek men;Konec men;Zempisn dlka;Zempisn ka;Nadmosk vka
H3MEST01;Mstec Krlov;01.01.1961;31.12.1979;15.3;50.2;211

PSTROJE
Pstroj;Zatek men;Konec men;Vka pstroje [m]
Teplomr;01.01.1966;31.12.1970;2
Teplomr;12.09.1974;31.12.1979;2

PRVEK
Prmrn denn teplota vzduchu [T.AVG

Popis:
Hodnota - hodnota prvku
Pznak - roziujc informace o hodnot

DATA
Rok;Msc;Den;Hodnota;Pznak
1966;01;1;5.8;
1966;01;2;5.9;
1966;01;3;4.5;
1966;01;4;-1;
1966;01;5;-5.8;
1966;01;6;-8;
1966;01;7;-3.4;
1966;01;8;-6.6;
1966;01;9;-7.9;
1966;01;10;-12.4;
1966;01;11;-8.5;
1966;01;12;-7.3;
1966;01;13;-6.1;
1966;01;14;-5;
1966;01;15;-9.5;
1966;01;16;-13.3;
1966;01;17;-9;
1966;01;18;-11.8;
1966;01;19;-7.4;
1966;01;20;-8.5;
1966;01;21;-5.8;
1966;01;22;-7.1;
1966;01;23;-.8;
1966;01;24;-.7;
1966;01;25;-.4;
1966;01;26;-6.3;
1966;01;27;-4.8;
1966;01;28;-2.1;
1966;01;29;.3;
1966;01;30;.8;
1966;01;31;-.5;
1966;02;1;3;
1966;02;2;1.6;
1966;02;3;2.9;
1966;02;4;2.5;
1966;02;5;7;
1966;02;6;10.4;
1966;02;7;7.5;
1966;02;8;2.9;
1966;02;9;7.6;
1966;02;10;-2.3;
1966;02;11;4.9;
1966;02;12;1.6;
1966;02;13;5.1;
1966;02;14;3.3;
1966;02;15;-.1;
1966;02;16;.1;
1966;02;17;2.3;
1966;02;18;2.8;
1966;02;19;3.6;
1966;02;20;8.4;
1966;02;21;8.3;
1966;02;22;4.6;
1966;02;23;5.3;
1966;02;24;4.4;
1966;02;25;6.8;
1966;02;26;8;
1966;02;27;6.1;
1966;02;28;7.8;
1966;03;1;6.8;
1966;03;2;5.7;
1966;03;3;4.6;
1966;03;4;7.8;
1966;03;5;6.2;
1966;03;6;2.8;
1966;03;7;2.6;
1966;03;8;2.8;
1966;03;9;6.1;
1966;03;10;3.8;
1966;03;11;5;
1966;03;12;2.9;
1966;03;13;.3;
1966;03;14;-2.2;
1966;03;15;1.1;
1966;03;16;.5;
1966;03;17;3.6;
1966;03;18;5.3;
1966;03;19;1;
1966;03;20;.9;
1966;03;21;5;
1966;03;22;7.5;
1966;03;23;5.8;
1966;03;24;3.8;
1966;03;25;1.3;
1966;03;26;-1.7;
1966;03;27;3.5;
1966;03;28;5.4;
1966;03;29;1.5;
1966;03;30;2;
1966;03;31;4.3;
1966;04;1;5.8;
1966;04;2;7;
1966;04;3;3.8;
1966;04;4;7.1;
1966;04;5;7;
1966;04;6;10.1;
1966;04;7;10.5;
1966;04;8;11;
1966;04;9;10.4;
1966;04;10;11.9;
1966;04;11;9.7;
1966;04;12;7.7;
1966;04;13;8.4;
1966;04;14;12.3;
1966;04;15;11;
1966;04;16;11.3;
1966;04;17;9.6;
1966;04;18;11.7;
1966;04;19;12.8;
1966;04;20;11.8;
1966;04;21;5.5;
1966;04;22;5.5;
1966;04;23;10.5;
1966;04;24;12;
1966;04;25;13;
1966;04;26;14.2;
1966;04;27;14.8;
1966;04;28;16.3;
1966;04;29;14.8;
1966;04;30;11.5;
1966;05;1;14.3;
1966;05;2;16.8;
1966;05;3;19.4;
1966;05;4;18;
1966;05;5;17.1;
1966;05;6;11.3;
1966;05;7;9;
1966;05;8;9.1;
1966;05;9;9.4;
1966;05;10;10;
1966;05;11;11.6;
1966;05;12;14.8;
1966;05;13;14.5;
1966;05;14;16.5;
1966;05;15;18.2;
1966;05;16;20.4;
1966;05;17;20.1;
1966;05;18;17.1;
1966;05;19;15.5;
1966;05;20;14.3;
1966;05;21;13.5;
1966;05;22;18.6;
1966;05;23;17;
1966;05;24;12.9;
1966;05;25;13.5;
1966;05;26;11;
1966;05;27;9.8;
1966;05;28;9.8;
1966;05;29;10.3;
1966;05;30;12.5;
1966;05;31;13.1;
1966;06;1;15.3;
1966;06;2;12;
1966;06;3;12.6;
1966;06;4;16.4;
1966;06;5;19.3;
1966;06;6;19.3;
1966;06;7;18;
1966;06;8;21.6;
1966;06;9;20.3;
1966;06;10;20.9;
1966;06;11;22;
1966;06;12;23.3;
1966;06;13;22.5;
1966;06;14;20.8;
1966;06;15;20.8;
1966;06;16;24.3;
1966;06;17;24.8;
1966;06;18;20.3;
1966;06;19;14.8;
1966;06;20;15.3;
1966;06;21;17;
1966;06;22;20.5;
1966;06;23;22.5;
1966;06;24;18.3;
1966;06;25;14.4;
1966;06;26;16;
1966;06;27;17.1;
1966;06;28;13.9;
1966;06;29;13.1;
1966;06;30;17.3;
1966;07;1;17.6;
1966;07;2;17.8;
1966;07;3;20.5;
1966;07;4;22;
1966;07;5;22.3;
1966;07;6;17.8;
1966;07;7;12.8;
1966;07;8;12.4;
1966;07;9;15.1;
1966;07;10;16.2;
1966;07;11;16.5;
1966;07;12;15.6;
1966;07;13;24.3;
1966;07;14;15.8;
1966;07;15;15.8;
1966;07;16;15.1;
1966;07;17;14.8;
1966;07;18;20.3;
1966;07;19;22.5;
1966;07;20;20.5;
1966;07;21;18.5;
1966;07;22;18.5;
1966;07;23;18.3;
1966;07;24;19.8;
1966;07;25;17.3;
1966;07;26;17.4;
1966;07;27;19;
1966;07;28;15.3;
1966;07;29;14.6;
1966;07;30;16.3;
1966;07;31;15.4;
1966;08;1;18.9;
1966;08;2;16;
1966;08;3;18.5;
1966;08;4;15.8;
1966;08;5;17.8;
1966;08;6;14.3;
1966;08;7;17;
1966;08;8;20;
1966;08;9;16.3;
1966;08;10;15.5;
1966;08;11;22.3;
1966;08;12;23.8;
1966;08;13;25.3;
1966;08;14;26;
1966;08;15;15.1;
1966;08;16;14.5;
1966;08;17;18;
1966;08;18;19.7;
1966;08;19;20.5;
1966;08;20;19.7;
1966;08;21;17.9;
1966;08;22;19.5;
1966;08;23;14.8;
1966;08;24;12.6;
1966;08;25;11.6;
1966;08;26;11.6;
1966;08;27;15.2;
1966;08;28;14.3;
1966;08;29;15.5;
1966;08;30;16.8;
1966;08;31;14.5;
1966;09;1;14;
1966;09;2;16;
1966;09;3;17;
1966;09;4;16.6;
1966;09;5;15.5;
1966;09;6;14.8;
1966;09;7;18.4;
1966;09;8;15.6;
1966;09;9;13.9;
1966;09;10;16.5;
1966;09;11;17.8;
1966;09;12;20.8;
1966;09;13;18.8;
1966;09;14;14.8;
1966;09;15;16;
1966;09;16;13.3;
1966;09;17;9.3;
1966;09;18;10.6;
1966;09;19;9.9;
1966;09;20;9.9;
1966;09;21;10.8;
1966;09;22;11.5;
1966;09;23;10.3;
1966;09;24;11.6;
1966;09;25;11.4;
1966;09;26;11;
1966;09;27;10.1;
1966;09;28;9.5;
1966;09;29;13;
1966;09;30;12.9;
1966;10;1;12.8;
1966;10;2;14.3;
1966;10;3;17;
1966;10;4;16.1;
1966;10;5;12.3;
1966;10;6;18.3;
1966;10;7;18.8;
1966;10;8;17.4;
1966;10;9;16.6;
1966;10;10;16.5;
1966;10;11;17;
1966;10;12;17;
1966;10;13;17.9;
1966;10;14;13.3;
1966;10;15;15.1;
1966;10;16;15.8;
1966;10;17;12.3;
1966;10;18;13;
1966;10;19;13.8;
1966;10;20;11.6;
1966;10;21;11;
1966;10;22;9.5;
1966;10;23;14.8;
1966;10;24;14.5;
1966;10;25;13;
1966;10;26;10.8;
1966;10;27;8.7;
1966;10;28;5.3;
1966;10;29;4.6;
1966;10;30;1.3;
1966;10;31;.6;
1966;11;1;1.4;
1966;11;2;2.1;
1966;11;3;6.8;
1966;11;4;12;
1966;11;5;10.2;
1966;11;6;7.3;
1966;11;7;7.1;
1966;11;8;10;
1966;11;9;7.6;
1966;11;10;8.3;
1966;11;11;4.3;
1966;11;12;.7;
1966;11;13;-.4;
1966;11;14;-.1;
1966;11;15;1.6;
1966;11;16;3.5;
1966;11;17;2.9;
1966;11;18;1.5;
1966;11;19;1.1;
1966;11;20;1;
1966;11;21;1.1;
1966;11;22;2.3;
1966;11;23;2.6;
1966;11;24;3.1;
1966;11;25;.8;
1966;11;26;.5;
1966;11;27;1.5;
