#OPEN_EXPORT: 2023.05.05.1207
#Datum vytvoen souboru: 14.02.2024 22:14
#Staenm publikovanch dat souhlaste s podmnkami uit tchto dat.

METADATA
Stanice ID;Jmno stanice;Zatek men;Konec men;Zempisn dlka;Zempisn ka;Nadmosk vka
P3SEDL01;Sedlany;01.01.1961;31.03.1966;14.4208;49.6558;372
P3SEDL01;Sedlany;01.04.1966;31.05.1970;14.4167;49.65;360
P3SEDL01;Sedlany;01.09.1970;31.03.1981;14.4222;49.6561;361
P3SEDL01;Sedlany;01.04.1981;17.10.1994;14.4208;49.6569;360
P3SEDL01;Sedlany;18.10.1994;30.06.1995;14.4269;49.6542;363

PSTROJE
Pstroj;Zatek men;Konec men;Vka pstroje [m]
Teplomr;01.01.1982;30.06.1995;2

PRVEK
Prmrn denn teplota vzduchu [T.AVG

Popis:
Hodnota - hodnota prvku
Pznak - roziujc informace o hodnot

DATA
Rok;Msc;Den;Hodnota;Pznak
1982;01;1;2.1;
1982;01;2;3;
1982;01;3;3.8;
1982;01;4;7;
1982;01;5;6.5;
1982;01;6;-1.5;
1982;01;7;-8.1;
1982;01;8;-10.1;
1982;01;9;-9.6;
1982;01;10;-16.5;
1982;01;11;-13.5;
1982;01;12;-8;
1982;01;13;-16.9;
1982;01;14;-21.3;
1982;01;15;-18.3;
1982;01;16;-14.5;
1982;01;17;-14.2;
1982;01;18;-12.9;
1982;01;19;-13.2;
1982;01;20;-11.6;
1982;01;21;-8.9;
1982;01;22;-5.4;
1982;01;23;-1.4;
1982;01;24;-.6;
1982;01;25;-4.3;
1982;01;26;-2.2;
1982;01;27;1.7;
1982;01;28;.7;
1982;01;29;2.1;
1982;01;30;4.2;
1982;01;31;1.8;
1982;02;1;-2;
1982;02;2;-3;
1982;02;3;-5.5;
1982;02;4;-6.2;
1982;02;5;-4.7;
1982;02;6;0;
1982;02;7;4.8;
1982;02;8;3.8;
1982;02;9;3.4;
1982;02;10;3.4;
1982;02;11;.4;
1982;02;12;-.1;
1982;02;13;-1.4;
1982;02;14;-1.9;
1982;02;15;-1;
1982;02;16;-.2;
1982;02;17;1.7;
1982;02;18;.3;
1982;02;19;-3.4;
1982;02;20;-4.5;
1982;02;21;-5.3;
1982;02;22;-2.7;
1982;02;23;-2.9;
1982;02;24;-3.6;
1982;02;25;-2.9;
1982;02;26;-1.8;
1982;02;27;-.6;
1982;02;28;3.8;
1982;03;1;8.3;
1982;03;2;3.8;
1982;03;3;6.4;
1982;03;4;7.8;
1982;03;5;3.2;
1982;03;6;-.2;
1982;03;7;.8;
1982;03;8;4.2;
1982;03;9;2.8;
1982;03;10;4.5;
1982;03;11;3.7;
1982;03;12;4;
1982;03;13;2.2;
1982;03;14;1.7;
1982;03;15;4.4;
1982;03;16;6.3;
1982;03;17;6.8;
1982;03;18;2.3;
1982;03;19;.7;
1982;03;20;2.5;
1982;03;21;1.7;
1982;03;22;1.5;
1982;03;23;2.3;
1982;03;24;1.8;
1982;03;25;3.3;
1982;03;26;5.6;
1982;03;27;8.4;
1982;03;28;10.2;
1982;03;29;8.5;
1982;03;30;7.8;
1982;03;31;4;
1982;04;1;8.3;
1982;04;2;11.5;
1982;04;3;8.8;
1982;04;4;6.1;
1982;04;5;7.3;
1982;04;6;11.7;
1982;04;7;11;
1982;04;8;10;
1982;04;9;4;
1982;04;10;3.7;
1982;04;11;3.5;
1982;04;12;3;
1982;04;13;2.3;
1982;04;14;3;
1982;04;15;4.9;
1982;04;16;6.1;
1982;04;17;6.1;
1982;04;18;4.9;
1982;04;19;4.9;
1982;04;20;4;
1982;04;21;6.4;
1982;04;22;7;
1982;04;23;6.7;
1982;04;24;8.3;
1982;04;25;7.8;
1982;04;26;7.7;
1982;04;27;4.6;
1982;04;28;5.1;
1982;04;29;7.8;
1982;04;30;4.5;
1982;05;1;5.4;
1982;05;2;6.6;
1982;05;3;10.6;
1982;05;4;14.3;
1982;05;5;16.3;
1982;05;6;9.3;
1982;05;7;8.7;
1982;05;8;9.8;
1982;05;9;11.6;
1982;05;10;12.7;
1982;05;11;8.8;
1982;05;12;9.7;
1982;05;13;12.6;
1982;05;14;13;
1982;05;15;15.4;
1982;05;16;16.7;
1982;05;17;19.3;
1982;05;18;18.7;
1982;05;19;16.4;
1982;05;20;17.7;
1982;05;21;14.9;
1982;05;22;15.3;
1982;05;23;15.2;
1982;05;24;12.3;
1982;05;25;13.2;
1982;05;26;17.3;
1982;05;27;21.5;
1982;05;28;16.3;
1982;05;29;13.7;
1982;05;30;15.2;
1982;05;31;19.4;
1982;06;1;21;
1982;06;2;22.4;
1982;06;3;21.9;
1982;06;4;22.7;
1982;06;5;23;
1982;06;6;21.2;
1982;06;7;18.6;
1982;06;8;18.5;
1982;06;9;19;
1982;06;10;17.8;
1982;06;11;20.1;
1982;06;12;14.2;
1982;06;13;13.6;
1982;06;14;11.3;
1982;06;15;11.5;
1982;06;16;12.6;
1982;06;17;12.2;
1982;06;18;14.7;
1982;06;19;17.7;
1982;06;20;17;
1982;06;21;18;
1982;06;22;19.3;
1982;06;23;18.6;
1982;06;24;17.6;
1982;06;25;20.6;
1982;06;26;19.4;
1982;06;27;15.7;
1982;06;28;17.5;
1982;06;29;17.3;
1982;06;30;14.6;
1982;07;1;15.2;
1982;07;2;18.1;
1982;07;3;24.4;
1982;07;4;16.7;
1982;07;5;17.1;
1982;07;6;17;
1982;07;7;15.4;
1982;07;8;16.1;
1982;07;9;18.6;
1982;07;10;21.1;
1982;07;11;21.3;
1982;07;12;20.3;
1982;07;13;20.9;
1982;07;14;22.4;
1982;07;15;23.5;
1982;07;16;25.7;
1982;07;17;19.7;
1982;07;18;15;
1982;07;19;17.6;
1982;07;20;22.4;
1982;07;21;20.3;
1982;07;22;20.9;
1982;07;23;20.8;
1982;07;24;19.7;
1982;07;25;18.4;
1982;07;26;16;
1982;07;27;15.4;
1982;07;28;17.2;
1982;07;29;18.2;
1982;07;30;20.8;
1982;07;31;20.8;
1982;08;1;21;
1982;08;2;20.3;
1982;08;3;20.8;
1982;08;4;18.7;
1982;08;5;19.7;
1982;08;6;20.5;
1982;08;7;17.5;
1982;08;8;19.8;
1982;08;9;19.5;
1982;08;10;20.3;
1982;08;11;19.3;
1982;08;12;21.5;
1982;08;13;23.4;
1982;08;14;18;
1982;08;15;20.5;
1982;08;16;19.9;
1982;08;17;16.6;
1982;08;18;19.7;
1982;08;19;18.5;
1982;08;20;14.8;
1982;08;21;14.5;
1982;08;22;14.3;
1982;08;23;15.9;
1982;08;24;16.6;
1982;08;25;15.2;
1982;08;26;18.1;
1982;08;27;16.4;
1982;08;28;14.7;
1982;08;29;14.5;
1982;08;30;13.7;
1982;08;31;14.9;
1982;09;1;15.1;
1982;09;2;15.1;
1982;09;3;14.1;
1982;09;4;15.6;
1982;09;5;19.2;
1982;09;6;20.9;
1982;09;7;18.7;
1982;09;8;17.1;
1982;09;9;15.7;
1982;09;10;14.8;
1982;09;11;15.9;
1982;09;12;16.6;
1982;09;13;17.7;
1982;09;14;16.2;
1982;09;15;17.1;
1982;09;16;16.4;
1982;09;17;16.6;
1982;09;18;15.1;
1982;09;19;17.6;
1982;09;20;20;
1982;09;21;18;
1982;09;22;15.1;
1982;09;23;13.8;
1982;09;24;11;
1982;09;25;12.3;
1982;09;26;17;
1982;09;27;12.3;
1982;09;28;12.1;
1982;09;29;12;
1982;09;30;13.7;
1982;10;1;14.9;
1982;10;2;14.8;
1982;10;3;9.3;
1982;10;4;9.7;
1982;10;5;11.5;
1982;10;6;11.8;
1982;10;7;11.8;
1982;10;8;9.6;
1982;10;9;7;
1982;10;10;7.4;
1982;10;11;7.1;
1982;10;12;9.5;
1982;10;13;11.4;
1982;10;14;11.7;
1982;10;15;9.2;
1982;10;16;6.2;
1982;10;17;6.5;
1982;10;18;9;
1982;10;19;8.2;
1982;10;20;9.3;
1982;10;21;9.7;
1982;10;22;8.2;
1982;10;23;9.7;
1982;10;24;11.6;
1982;10;25;8.7;
1982;10;26;6.8;
1982;10;27;6.2;
1982;10;28;4.6;
1982;10;29;8.6;
1982;10;30;6.5;
1982;10;31;4.5;
1982;11;1;7.1;
1982;11;2;8.2;
1982;11;3;6.2;
1982;11;4;7.5;
1982;11;5;1.9;
1982;11;6;-.9;
1982;11;7;1.1;
1982;11;8;2.7;
1982;11;9;5.2;
1982;11;10;7.6;
1982;11;11;5.3;
1982;11;12;2.5;
1982;11;13;6.1;
1982;11;14;4.9;
1982;11;15;-.5;
1982;11;16;.7;
1982;11;17;1.9;
1982;11;18;6.8;
1982;11;19;9.1;
1982;11;20;6.3;
1982;11;21;2.6;
1982;11;22;3.5;
1982;11;23;3.9;
1982;11;24;3.8;
1982;11;25;2.5;
1982;11;26;5.3;
1982;11;27;6.2;
1982;11;28;4.5;
1982;11;29;4.8;
1982;11;30;2.2;
1982;12;1;1.3;
1982;12;2;4.3;
1982;12;3;-1.5;
1982;12;4;-2;
1982;12;5;-1.3;
1982;12;6;.3;
1982;12;7;2.7;
1982;12;8;8.1;
1982;12;9;5.4;
1982;12;10;8.6;
1982;12;11;3.2;
1982;12;12;2.2;
1982;12;13;2.6;
1982;12;14;.7;
1982;12;15;4.4;
1982;12;16;7.9;
1982;12;17;4.5;
1982;12;18;1.1;
1982;12;19;-1.3;
1982;12;20;4.9;
1982;12;21;2.5;
1982;12;22;.6;
1982;12;23;.5;
1982;12;24;-1.6;
1982;12;25;.1;
1982;12;26;.4;
1982;12;27;4.8;
1982;12;28;2.3;
1982;12;29;.6;
1982;12;30;-1;
1982;12;31;-2.4;
1983;01;1;1.4;
1983;01;2;1.3;
1983;01;3;1.7;
1983;01;4;7.3;
1983;01;5;5.5;
1983;01;6;7.6;
1983;01;7;3.4;
1983;01;8;3;
1983;01;9;2.8;
1983;01;10;5.2;
1983;01;11;6.5;
1983;01;12;3.1;
1983;01;13;-.3;
1983;01;14;1.3;
1983;01;15;2.7;
1983;01;16;3.5;
1983;01;17;6.4;
1983;01;18;3.6;
1983;01;19;.8;
1983;01;20;-3.2;
1983;01;21;1.3;
1983;01;22;3.4;
1983;01;23;1.8;
1983;01;24;-1;
1983;01;25;.1;
1983;01;26;6.3;
1983;01;27;10.9;
1983;01;28;7.8;
1983;01;29;8.3;
1983;01;30;5.6;
1983;01;31;1.5;
1983;02;1;5.8;
1983;02;2;.9;
1983;02;3;-.2;
1983;02;4;-3.6;
1983;02;5;-2.4;
1983;02;6;.3;
1983;02;7;-2.2;
1983;02;8;-1.1;
1983;02;9;-1.8;
1983;02;10;-2.1;
1983;02;11;-3.4;
1983;02;12;-2.9;
1983;02;13;-2.5;
1983;02;14;-3.9;
1983;02;15;-10.8;
1983;02;16;-10.4;
1983;02;17;-5.5;
1983;02;18;-5.3;
1983;02;19;-3.9;
1983;02;20;-.9;
1983;02;21;-4.6;
1983;02;22;-9.3;
1983;02;23;-8.2;
1983;02;24;-7;
1983;02;25;-6.5;
1983;02;26;-.1;
1983;02;27;3.7;
1983;02;28;2.5;
1983;03;1;1.5;
1983;03;2;-.1;
1983;03;3;.4;
1983;03;4;-.3;
1983;03;5;3.9;
1983;03;6;4.4;
1983;03;7;5.4;
1983;03;8;6.6;
1983;03;9;6.1;
1983;03;10;4.6;
1983;03;11;3.7;
1983;03;12;.2;
1983;03;13;.8;
1983;03;14;3.1;
1983;03;15;3.3;
1983;03;16;4.8;
1983;03;17;7.3;
1983;03;18;8.2;
1983;03;19;8.9;
1983;03;20;8.7;
1983;03;21;7.7;
1983;03;22;2.5;
1983;03;23;3.5;
1983;03;24;10.4;
1983;03;25;1.5;
1983;03;26;1.2;
1983;03;27;2;
1983;03;28;4.7;
1983;03;29;3.2;
1983;03;30;5.9;
1983;03;31;8.1;
1983;04;1;5.5;
1983;04;2;8.3;
1983;04;3;3.8;
1983;04;4;3.9;
1983;04;5;3;
1983;04;6;5.4;
1983;04;7;6.5;
1983;04;8;12.3;
1983;04;9;8.2;
1983;04;10;9.4;
1983;04;11;15.2;
1983;04;12;6.7;
1983;04;13;3.4;
1983;04;14;3.9;
1983;04;15;5.1;
1983;04;16;7.7;
1983;04;17;10.6;
1983;04;18;9.6;
1983;04;19;13.3;
1983;04;20;13.2;
1983;04;21;16.5;
1983;04;22;11.9;
1983;04;23;12.5;
1983;04;24;11.8;
1983;04;25;12.6;
1983;04;26;15.6;
1983;04;27;14.7;
1983;04;28;14.2;
1983;04;29;13.2;
1983;04;30;14;
1983;05;1;14.1;
1983;05;2;10.1;
1983;05;3;10.6;
1983;05;4;10.1;
1983;05;5;8.5;
1983;05;6;9.2;
1983;05;7;12;
1983;05;8;10.1;
1983;05;9;10.3;
1983;05;10;13;
1983;05;11;11.8;
1983;05;12;16.2;
1983;05;13;16.2;
1983;05;14;17.8;
1983;05;15;17.6;
1983;05;16;18.8;
1983;05;17;19;
1983;05;18;16;
1983;05;19;11.9;
1983;05;20;14.9;
1983;05;21;19;
1983;05;22;14.3;
1983;05;23;14.4;
1983;05;24;11.4;
1983;05;25;10.5;
1983;05;26;12.1;
1983;05;27;10.4;
1983;05;28;11.4;
1983;05;29;12.6;
1983;05;30;14.7;
1983;05;31;17.8;
1983;06;1;20.9;
1983;06;2;19.1;
1983;06;3;18.9;
1983;06;4;20.5;
1983;06;5;19.3;
1983;06;6;13.1;
1983;06;7;13.9;
1983;06;8;19.8;
1983;06;9;20.2;
1983;06;10;18.4;
1983;06;11;16.5;
1983;06;12;18.3;
1983;06;13;19.2;
1983;06;14;14.9;
1983;06;15;11.1;
1983;06;16;10.5;
1983;06;17;10.1;
1983;06;18;12;
1983;06;19;13.9;
1983;06;20;16.6;
1983;06;21;18;
1983;06;22;18.6;
1983;06;23;17.5;
1983;06;24;22.1;
1983;06;25;20.3;
1983;06;26;18.8;
1983;06;27;18.5;
1983;06;28;14.3;
1983;06;29;15.7;
1983;06;30;19.3;
1983;07;1;17.7;
1983;07;2;16.1;
1983;07;3;19.6;
1983;07;4;20;
1983;07;5;20.7;
1983;07;6;23.5;
1983;07;7;22.9;
1983;07;8;23.1;
1983;07;9;20.5;
1983;07;10;22.5;
1983;07;11;21.3;
1983;07;12;20.4;
1983;07;13;21.3;
1983;07;14;18.6;
1983;07;15;20.5;
1983;07;16;20.1;
1983;07;17;22.9;
1983;07;18;26.3;
1983;07;19;22;
1983;07;20;16.2;
1983;07;21;14.1;
1983;07;22;20;
1983;07;23;21.8;
1983;07;24;19.7;
1983;07;25;20.6;
