#OPEN_EXPORT: 2023.05.05.1207
#Datum vytvoen souboru: 14.02.2024 22:14
#Staenm publikovanch dat souhlaste s podmnkami uit tchto dat.

METADATA
Stanice ID;Jmno stanice;Zatek men;Konec men;Zempisn dlka;Zempisn ka;Nadmosk vka
P3VLAS01;Vlaim;01.01.1961;31.12.1961;14.894722;49.691944;415
P3VLAS01;Vlaim;01.07.2013;31.12.2023;14.894545;49.691749;415

PSTROJE
Pstroj;Zatek men;Konec men;Vka pstroje [m]
Teplomr;01.01.1961;31.12.1961;2
Teplotnvlhkostn idlo;01.07.2013;31.12.2023;2

PRVEK
Prmrn denn teplota vzduchu [T.AVG

Popis:
Hodnota - hodnota prvku
Pznak - roziujc informace o hodnot

DATA
Rok;Msc;Den;Hodnota;Pznak
2013;07;1;16.2;
2013;07;2;18.8;
2013;07;3;18.6;
2013;07;4;17.7;
2013;07;5;18.5;
2013;07;6;17.5;
2013;07;7;18.3;
2013;07;8;17.2;
2013;07;9;18.4;
2013;07;10;19.5;
2013;07;11;14.2;
2013;07;12;14.3;
2013;07;13;15.8;
2013;07;14;18;
2013;07;15;15.1;
2013;07;16;17.3;
2013;07;17;17.6;
2013;07;18;18.5;
2013;07;19;20.3;
2013;07;20;17.8;
2013;07;21;18.2;
2013;07;22;19.2;
2013;07;23;19.1;
2013;07;24;21.9;
2013;07;25;20.7;
2013;07;26;23.1;
2013;07;27;25.7;
2013;07;28;28;
2013;07;29;21.6;
2013;07;30;16.9;
2013;07;31;20.1;
2013;08;1;20.6;
2013;08;2;22.8;
2013;08;3;25.5;
2013;08;4;20.7;
2013;08;5;20.9;
2013;08;6;25.6;
2013;08;7;23.8;
2013;08;8;23.4;
2013;08;9;16.2;
2013;08;10;18;
2013;08;11;16.6;
2013;08;12;16.9;
2013;08;13;14.8;
2013;08;14;13.9;
2013;08;15;14.5;
2013;08;16;17.2;
2013;08;17;19;
2013;08;18;22.1;
2013;08;19;17.4;
2013;08;20;12.7;
2013;08;21;13.7;
2013;08;22;14.2;
2013;08;23;15.1;
2013;08;24;15.5;
2013;08;25;14.5;
2013;08;26;13.6;
2013;08;27;13;
2013;08;28;14.1;
2013;08;29;14.3;
2013;08;30;14.4;
2013;08;31;17.3;
2013;09;1;11.4;
2013;09;2;13.6;
2013;09;3;16.1;
2013;09;4;16.5;
2013;09;5;16.2;
2013;09;6;17.5;
2013;09;7;17.9;
2013;09;8;19.3;
2013;09;9;13.5;
2013;09;10;12.1;
2013;09;11;11.7;
2013;09;12;11.4;
2013;09;13;11.9;
2013;09;14;14.1;
2013;09;15;14.9;
2013;09;16;12.6;
2013;09;17;8;
2013;09;18;9.6;
2013;09;19;9;
2013;09;20;10.5;
2013;09;21;11.1;
2013;09;22;12.2;
2013;09;23;13.9;
2013;09;24;11.9;
2013;09;25;13.4;
2013;09;26;12.2;
2013;09;27;6.8;
2013;09;28;6.2;
2013;09;29;8;
2013;09;30;7;
2013;10;1;4.7;
2013;10;2;3.1;
2013;10;3;2.7;
2013;10;4;6.5;
2013;10;5;6.6;
2013;10;6;7.6;
2013;10;7;7.7;
2013;10;8;9;
2013;10;9;9.4;
2013;10;10;10.9;
2013;10;11;7.7;
2013;10;12;10.3;
2013;10;13;7.9;
2013;10;14;7.5;
2013;10;15;9.1;
2013;10;16;6.4;
2013;10;17;9.2;
2013;10;18;8.7;
2013;10;19;6.9;
2013;10;20;12.1;
2013;10;21;13.7;
2013;10;22;13.7;
2013;10;23;14.9;
2013;10;24;12.4;
2013;10;25;11.4;
2013;10;26;14.5;
2013;10;27;13.8;
2013;10;28;16.5;
2013;10;29;10.7;
2013;10;30;6.7;
2013;10;31;3.8;
2013;11;1;5.4;
2013;11;2;10;
2013;11;3;7.7;
2013;11;4;7.9;
2013;11;5;4;
2013;11;6;6.9;
2013;11;7;12.2;
2013;11;8;12.4;
2013;11;9;7.7;
2013;11;10;5.2;
2013;11;11;4.1;
2013;11;12;1.6;
2013;11;13;2.3;
2013;11;14;1.7;
2013;11;15;3;
2013;11;16;4;
2013;11;17;1.1;
2013;11;18;4.7;
2013;11;19;5.9;
2013;11;20;4.4;
2013;11;21;4.6;
2013;11;22;3.9;
2013;11;23;4.9;
2013;11;24;2.8;
2013;11;25;-1;
2013;11;26;-1.3;
2013;11;27;-2.3;
2013;11;28;.2;
2013;11;29;1.5;
2013;11;30;2.7;
2013;12;1;2.9;
2013;12;2;.3;
2013;12;3;-1.7;
2013;12;4;-.7;
2013;12;5;2.9;
2013;12;6;-.2;
2013;12;7;.2;
2013;12;8;3.2;
2013;12;9;5.2;
2013;12;10;5.9;
2013;12;11;3.9;
2013;12;12;1;
2013;12;13;-1.4;
2013;12;14;.8;
2013;12;15;3.3;
2013;12;16;2.5;
2013;12;17;-1.6;
2013;12;18;-2.9;
2013;12;19;-2.1;
2013;12;20;.4;
2013;12;21;.9;
2013;12;22;4.8;
2013;12;23;4.7;
2013;12;24;2.9;
2013;12;25;6.4;
2013;12;26;7.9;
2013;12;27;4.8;
2013;12;28;2.5;
2013;12;29;4;
2013;12;30;-.8;
2013;12;31;.7;
2014;01;1;.9;
2014;01;2;2.2;
2014;01;3;5.1;
2014;01;4;6;
2014;01;5;4.5;
2014;01;6;2.4;
2014;01;7;3.8;
2014;01;8;5.9;
2014;01;9;7.4;
2014;01;10;4.2;
2014;01;11;4.1;
2014;01;12;1.4;
2014;01;13;-.1;
2014;01;14;.8;
2014;01;15;1.6;
2014;01;16;1.2;
2014;01;17;3.2;
2014;01;18;2.1;
2014;01;19;5.2;
2014;01;20;6;
2014;01;21;-1.1;
2014;01;22;-1.4;
2014;01;23;-1.6;
2014;01;24;-1.9;
2014;01;25;-9.5;
2014;01;26;-6;
2014;01;27;-2.5;
2014;01;28;-2.5;
2014;01;29;-2.7;
2014;01;30;-1.8;
2014;01;31;1;
2014;02;1;-.2;
2014;02;2;-1.2;
2014;02;3;-.9;
2014;02;4;-1.8;
2014;02;5;-.5;
2014;02;6;1.8;
2014;02;7;1.9;
2014;02;8;4.8;
2014;02;9;2.9;
2014;02;10;2.1;
2014;02;11;2.4;
2014;02;12;.4;
2014;02;13;4;
2014;02;14;1.6;
2014;02;15;5;
2014;02;16;5.2;
2014;02;17;4;
2014;02;18;2.4;
2014;02;19;5.2;
2014;02;20;5.1;
2014;02;21;5.8;
2014;02;22;3.4;
2014;02;23;1.3;
2014;02;24;3.7;
2014;02;25;2.2;
2014;02;26;2.6;
2014;02;27;3.8;
2014;02;28;4.1;
2014;03;1;4.9;
2014;03;2;7.1;
2014;03;3;4.8;
2014;03;4;4.3;
2014;03;5;5.1;
2014;03;6;4.9;
2014;03;7;3.3;
2014;03;8;3.3;
2014;03;9;3.9;
2014;03;10;3.4;
2014;03;11;5.2;
2014;03;12;4;
2014;03;13;5.6;
2014;03;14;6.5;
2014;03;15;6.8;
2014;03;16;9.1;
2014;03;17;9.5;
2014;03;18;10.2;
2014;03;19;8;
2014;03;20;11.8;
2014;03;21;12.3;
2014;03;22;11.3;
2014;03;23;3.8;
2014;03;24;2;
2014;03;25;2.6;
2014;03;26;3;
2014;03;27;6;
2014;03;28;5;
2014;03;29;9.3;
2014;03;30;8.8;
2014;03;31;7.8;
2014;04;1;8.6;
2014;04;2;11.5;
2014;04;3;12.3;
