#OPEN_EXPORT: 2023.05.05.1207
#Datum vytvoen souboru: 14.02.2024 22:17
#Staenm publikovanch dat souhlaste s podmnkami uit tchto dat.

METADATA
Stanice ID;Jmno stanice;Zatek men;Konec men;Zempisn dlka;Zempisn ka;Nadmosk vka
U2MELN01;Mlnk;01.02.1962;31.12.1979;14.4833;50.3333;188
U2MELN01;Mlnk;01.12.1997;31.07.2002;14.4739;50.3558;184

PSTROJE
Pstroj;Zatek men;Konec men;Vka pstroje [m]
Teplomr;01.02.1962;31.12.1963;2

PRVEK
Prmrn denn teplota vzduchu [T.AVG

Popis:
Hodnota - hodnota prvku
Pznak - roziujc informace o hodnot

DATA
Rok;Msc;Den;Hodnota;Pznak
1962;04;1;5.5;
1962;04;2;5.2;
1962;04;3;9.9;
1962;04;4;8;
1962;04;5;6.5;
1962;04;6;5.5;
1962;04;7;5.4;
1962;04;8;10.5;
1962;04;9;6.9;
1962;04;10;4.3;
1962;04;11;5.4;
1962;04;12;9.5;
1962;04;13;4.6;
1962;04;14;5.5;
1962;04;15;8;
1962;04;16;7.3;
1962;04;17;11.5;
1962;04;18;16.2;
1962;04;19;16.6;
1962;04;20;18.8;
1962;04;21;18.4;
1962;04;22;19.1;
1962;04;23;18.2;
1962;04;24;20.2;
1962;04;25;20.3;
1962;04;26;16.6;
1962;04;27;9.1;
1962;04;28;5.5;
1962;04;29;5.4;
1962;04;30;4.2;
1962;05;1;4.3;
1962;05;2;4.6;
1962;05;3;7.6;
1962;05;4;5.8;
1962;05;5;7.1;
1962;05;6;14.2;
1962;05;7;15.6;
1962;05;8;16;
1962;05;9;15.2;
1962;05;10;12.2;
1962;05;11;12;
1962;05;12;10;
1962;05;13;12.6;
1962;05;14;9;
1962;05;15;9.2;
1962;05;16;10.2;
1962;05;17;11.4;
1962;05;18;12.7;
1962;05;19;16.1;
1962;05;20;11.2;
1962;05;21;12.2;
1962;05;22;13.6;
1962;05;23;14.6;
1962;05;24;10.9;
1962;05;25;10.4;
1962;05;26;8.4;
1962;05;27;12;
1962;05;28;13.5;
1962;05;29;14.3;
1962;05;30;13.2;
1962;05;31;14.3;
1962;06;1;8.9;
1962;06;2;9.3;
1962;06;3;8.9;
1962;06;4;9.5;
1962;06;5;11.3;
1962;06;6;10.7;
1962;06;7;11.1;
1962;06;8;14.3;
1962;06;9;17.2;
1962;06;10;17.1;
1962;06;11;13.8;
1962;06;12;12.4;
1962;06;13;15.3;
1962;06;14;20.3;
1962;06;15;23;
1962;06;16;22.6;
1962;06;17;21.1;
1962;06;18;20.8;
1962;06;19;22.3;
1962;06;20;18.6;
1962;06;21;19.6;
1962;06;22;21.9;
1962;06;23;23.1;
1962;06;24;23;
1962;06;25;15.8;
1962;06;26;16.5;
1962;06;27;12.3;
1962;06;28;10.8;
1962;06;29;11.9;
1962;06;30;12.4;
1962;07;1;12.5;
1962;07;2;12.8;
1962;07;3;12.2;
1962;07;4;10.6;
1962;07;5;13.4;
1962;07;6;13.6;
1962;07;7;11.9;
1962;07;8;13.8;
1962;07;9;15.8;
1962;07;10;19.8;
1962;07;11;18.6;
1962;07;12;18.8;
1962;07;13;14.8;
1962;07;14;15.3;
1962;07;15;15.6;
1962;07;16;16.7;
1962;07;17;16.8;
1962;07;18;15.4;
1962;07;19;17.3;
1962;07;20;19.3;
1962;07;21;22.6;
1962;07;22;20;
1962;07;23;17.8;
1962;07;24;17.2;
1962;07;25;20.8;
1962;07;26;23.6;
1962;07;27;20.3;
1962;07;28;15.1;
1962;07;29;16.4;
1962;07;30;18.1;
1962;07;31;18.5;
1962;08;1;17.7;
1962;08;2;20.8;
1962;08;3;20.1;
1962;08;4;21;
1962;08;5;19.9;
1962;08;6;20.6;
1962;08;7;16.4;
1962;08;8;16.5;
1962;08;9;16.1;
1962;08;10;16.7;
1962;08;11;19.1;
1962;08;12;22;
1962;08;13;22.9;
1962;08;14;20;
1962;08;15;19.3;
1962;08;16;18.7;
1962;08;17;16.9;
1962;08;18;15.4;
1962;08;19;14.5;
1962;08;20;15;
1962;08;21;17;
1962;08;22;16.4;
1962;08;23;16.4;
1962;08;24;18.8;
1962;08;25;15.3;
1962;08;26;15.2;
1962;08;27;18.2;
1962;08;28;14.8;
1962;08;29;15.3;
1962;08;30;12.6;
1962;08;31;11.8;
1962;09;1;12.5;
1962;09;2;14.1;
1962;09;3;17.3;
1962;09;4;20.4;
1962;09;5;18.3;
1962;09;6;18.1;
1962;09;7;16.7;
1962;09;8;13.3;
1962;09;9;11.6;
1962;09;10;13.7;
1962;09;11;16.4;
1962;09;12;22.1;
1962;09;13;11.6;
1962;09;14;10.6;
1962;09;15;12.6;
1962;09;16;16.8;
1962;09;17;10.9;
1962;09;18;8.9;
1962;09;19;8.9;
1962;09;20;8.2;
1962;09;21;8.8;
1962;09;22;10.9;
1962;09;23;9.1;
1962;09;24;9.3;
1962;09;25;10.1;
1962;09;26;12.2;
1962;09;27;12;
1962;09;28;9.6;
1962;09;29;11.2;
1962;09;30;13.1;
1962;10;1;13.5;
1962;10;2;14.2;
1962;10;3;12.8;
1962;10;4;14.3;
1962;10;5;13.5;
1962;10;6;13;
1962;10;7;12;
1962;10;8;12.5;
1962;10;9;11.7;
1962;10;10;10.2;
1962;10;11;7.5;
1962;10;12;7.1;
1962;10;13;7;
1962;10;14;7.6;
1962;10;15;8.1;
1962;10;16;6.2;
1962;10;17;8.7;
1962;10;18;9.3;
1962;10;19;10.4;
1962;10;20;5.8;
1962;10;21;1.5;
1962;10;22;1.1;
1962;10;23;1.4;
1962;10;24;1.7;
1962;10;25;2.8;
1962;10;26;5.2;
1962;10;27;4;
1962;10;28;5.4;
1962;10;29;3.6;
1962;10;30;1.6;
1962;10;31;3.8;
1962;11;1;4.8;
1962;11;2;5.7;
1962;11;3;4.6;
1962;11;4;5.3;
1962;11;5;11.1;
1962;11;6;11;
1962;11;7;10.6;
1962;11;8;12.6;
1962;11;9;10.9;
1962;11;10;5.1;
1962;11;11;2.7;
1962;11;12;4.4;
1962;11;13;6;
1962;11;14;5.5;
1962;11;15;3.8;
1962;11;16;1.3;
1962;11;17;-.3;
1962;11;18;2.7;
1962;11;19;2.8;
1962;11;20;2.1;
1962;11;21;-.5;
1962;11;22;.8;
1962;11;23;-2.6;
1962;11;24;-.9;
1962;11;25;-1.8;
1962;11;26;1.1;
1962;11;27;.8;
1962;11;28;.5;
1962;11;29;1.6;
1962;11;30;3.4;
1962;12;1;-.5;
1962;12;2;-3.8;
1962;12;3;-7.9;
1962;12;4;-7.5;
1962;12;5;-5.3;
1962;12;6;-2.8;
1962;12;7;-4.6;
1962;12;8;-5;
1962;12;9;-.5;
1962;12;10;3.8;
1962;12;11;3.9;
1962;12;12;3.9;
1962;12;13;-.1;
1962;12;14;.5;
1962;12;15;2.1;
1962;12;16;3.5;
1962;12;17;2.1;
1962;12;18;.5;
1962;12;19;-1.3;
1962;12;20;-4.2;
1962;12;21;-8.4;
1962;12;22;-12.5;
1962;12;23;-12.8;
1962;12;24;-9.3;
1962;12;25;-10.1;
1962;12;26;-8.7;
1962;12;27;-13.1;
1962;12;28;-10.5;
1962;12;29;-10.3;
1962;12;30;-3.3;
1962;12;31;-4.5;
1963;01;1;-7.4;
1963;01;2;-6;
1963;01;3;.2;
1963;01;4;.7;
1963;01;5;0;
1963;01;6;.5;
1963;01;7;-1.1;
1963;01;8;-4.8;
1963;01;9;-6.2;
1963;01;10;-8.6;
1963;01;11;-13.8;
1963;01;12;-13.8;
1963;01;13;-14.6;
1963;01;14;-8.6;
1963;01;15;-10.7;
1963;01;16;-11.2;
1963;01;17;-12;
1963;01;18;-10.7;
1963;01;19;-8.5;
1963;01;20;-11;
1963;01;21;-11.7;
1963;01;22;-9;
1963;01;23;-6.5;
1963;01;24;-3.2;
1963;01;25;-1.3;
1963;01;26;-1.5;
1963;01;27;-2.7;
1963;01;28;-5.1;
1963;01;29;-9.4;
1963;01;30;-13.4;
1963;01;31;-12.3;
1963;02;1;-13.5;
1963;02;2;-12;
1963;02;3;-12.5;
1963;02;4;-11.3;
1963;02;5;-12.3;
1963;02;6;-10.2;
1963;02;7;-8.4;
1963;02;8;-4.2;
1963;02;9;-1;
1963;02;10;1.1;
1963;02;11;1.3;
1963;02;12;.9;
1963;02;13;-.4;
1963;02;14;-1.9;
1963;02;15;-2;
1963;02;16;-3.3;
1963;02;17;-3.2;
1963;02;18;-.8;
1963;02;19;-2.5;
1963;02;20;-2.8;
1963;02;21;-6.3;
1963;02;22;-6.7;
1963;02;23;-13.5;
1963;02;24;-13.1;
1963;02;25;-11.2;
1963;02;26;-3.3;
1963;02;27;-10.1;
1963;02;28;-9;
1963;03;1;-10.9;
1963;03;2;-9.8;
1963;03;3;-5.6;
1963;03;4;-2;
1963;03;5;-2.7;
1963;03;6;.7;
1963;03;7;4.1;
1963;03;8;4.3;
1963;03;9;3.8;
1963;03;10;3.7;
1963;03;11;5.7;
1963;03;12;5.7;
1963;03;13;3.2;
1963;03;14;.7;
1963;03;15;-.5;
1963;03;16;1.3;
1963;03;17;.5;
1963;03;18;2.5;
1963;03;19;3.6;
1963;03;20;4.2;
1963;03;21;2.1;
1963;03;22;-.7;
