Rok;Msc;Den;Hodnota;Pznak;id;stanice;zemepisna delka;zemepisna sirka;mesto
Rok;Msc;Den;Hodnota;Pznak
1990;01;1;-11.7;;C1HKVI01;Horsk Kvilda;13.570905;49.051191;Plzen
1990;01;2;-5.6;;C1HKVI01;Horsk Kvilda;13.570905;49.051191;Plzen
1990;01;3;-9.3;;C1HKVI01;Horsk Kvilda;13.570905;49.051191;Plzen
1990;01;4;-12.5;;C1HKVI01;Horsk Kvilda;13.570905;49.051191;Plzen
1990;01;5;-4.1;;C1HKVI01;Horsk Kvilda;13.570905;49.051191;Plzen
1990;01;6;-12.1;;C1HKVI01;Horsk Kvilda;13.570905;49.051191;Plzen
1990;01;7;-17.9;;C1HKVI01;Horsk Kvilda;13.570905;49.051191;Plzen
1990;01;8;-15.9;;C1HKVI01;Horsk Kvilda;13.570905;49.051191;Plzen
1990;01;9;-4.7;;C1HKVI01;Horsk Kvilda;13.570905;49.051191;Plzen
1990;01;10;-1.8;;C1HKVI01;Horsk Kvilda;13.570905;49.051191;Plzen
1990;01;11;-6.1;;C1HKVI01;Horsk Kvilda;13.570905;49.051191;Plzen
1990;01;12;-9.4;;C1HKVI01;Horsk Kvilda;13.570905;49.Pznak
1974;10;1;5.5;;C1HRAS01;Hrdek;13.5;49.2667;Plzen
1974;10;2;3;;C1HRAS01;Hrdek;13.5;49.2667;Plzen
1974;10;3;4.8;;C1HRAS01;Hrdek;13.5;49.2667;Plzen
1974;10;4;3.5;;C1HRAS01;Hrdek;13.5;49.2667;Plzen
1974;10;5;5.3;;C1HRAS01;Hrdek;13.5;49.2667;Plzen
1974;10;6;6;;C1HRAS01;Hrdek;13.5;49.2667;Plzen
1974;10;7;6.5;;C1HRAS01;Hrdek;13.5;49.2667;Plzen
1974;10;8;4;;C1HRAS01;Hrdek;13.5;49.2667;Plzen
1974;10;9;4.9;;C1HRAS01;Hrdek;13.5;49.2667;Plzen
1974;10;10;4;;C1HRAS01;Hrdek;13.5;49.2667;Plzen
1974;10;11;2.9;;C1HRAS01;Hrdek;13.5;49.2667;Plzen
1974;10;12;3.4;;C1HRAS01;Hrdek;13.5;49.2667;Plzen
1974;10;13;2.2;;C1HRAS01;Hrdek;13.5;49.2667;Plzen
1974;10;14;3.7;;C1HRAS01;Hrdek;13.5;49.2667;Plzen
1974;10;15;4.3;;C1HRAS01;Hrdek;13.5;49.2667;Plzen
1974;10;16;1.9;;C1HRAS01;Hrdek;13.5;49.2667;Plzen
1974;10;17;2;;C1HRAS01;Hrdek;13.5;49.2667;Plzen
1974;10;18;3.1;;C1HRAS01;Hrdek;13.5;49.2667;Plzen
1974;10;19;5.8;;C1HRAS01;Hrdek;13.5;49.2667;Plzen
1974;10;20;3.8;;C1HRAS01;Hrdek;13.5;49.2667;Plzen
